It ^pp3+it+++=It
is ^vbz+bez+aux++=is
estimated ^vpsv++agls+xvbnx+=estimated
that ^tht+vcmp+++=that
50 ^cd++++=50
to ^to++++=to
60 ^cd++++=60%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
North ^nr+pl+++=North
American ^jj+atrb+++=American
population ^nn++++=population
may ^md+pos+++=may
be ^vb+be+aux++=be
exposed ^vpsv++agls+xvbnx+=exposed
to ^in++++=to
at ^in++++=at
least ^ql++++=least
one ^cd1++++=one
traumatic ^jj+atrb+++=traumatic
event ^nn++++=event
during ^in++++=during
their ^pp$+pp3+++=their
lifetime ^nn++++=lifetime
( ^zz++++=(25).
25 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
individuals ^nns++++=individuals
recover ^vb++++=recover
from ^in++++=from
such ^abl++++=such
experiences ^nns++++=experiences,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
10 ^cd++++=10
to ^to++++=to
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
develop ^vb++++=develop
post ^nn++++=post-traumatic
- ^zz++++=EXTRAWORD
traumatic ^jj+atrb+++=EXTRAWORD
stress ^nn++++=stress
disorder ^nn++++=disorder
( ^zz++++=(PTSD).
ptsd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
pharmacological ^jj++++=pharmacological
and ^cc++++=and
psychotherapeutic ^nn+++??+=psychotherapeutic
treatments ^nns++++=treatments
are ^vb+ber+vrb++=are
often ^rb++++=often
effective ^jj+pred+++=effective
for ^in++++=for
Ptsd ^np+++??+=PTSD,
, ^zz++++=EXTRAWORD
20 ^cd++++=20
to ^to++++=to
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
of ^in++++=of
patients ^nns++++=patients
do ^vb+do+aux++=do
not ^xnot++not++=not
respond ^vb++++=respond
to ^in++++=to
conventional ^jj+atrb+++=conventional
therapies ^nns++++=therapies
( ^zz++++=(26).
26 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
