Since ^in++++=Since
its ^pp$+it+++=its
establishment ^nn++++=establishment,
, ^zz++++=EXTRAWORD
Zootaxa ^np+++??+=Zootaxa
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
a ^at++++=a
prominent ^jj+atrb+++=prominent
platform ^nn++++=platform
for ^in++++=for
the ^ati++++=the
dissemination ^nn+++??+=dissemination
and ^cc++++=and
discussion ^nn++++=discussion
of ^in++++=of
taxonomic ^nn+++??+=taxonomic
research ^nn++++=research,
, ^zz++++=EXTRAWORD
achieving ^jj+++xvbg+=achieving
a ^at++++=a
notable ^jj+atrb+++=notable
position ^nn++++=position
among ^in++++=among
journals ^nns++++=journals
in ^in++++=in
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
The ^ati++++=The
launch ^nn++++=launch
of ^in++++=of
the ^ati++++=the
journal ^nn++++=journal
represented ^vbd+++xvbn+=represented
a ^at++++=a
significant ^jj+atrb+++=significant
development ^nn++++=development
in ^in++++=in
zoological ^nn+++??+=zoological
taxonomy ^nn+++??+=taxonomy.
. ^zz++++=EXTRAWORD
Initiated ^j+++xvbn+=Initiated
in ^in++++=in
2001 ^cd++++=2001
with ^in++++=with
a ^at++++=a
hybrid ^nn++++=hybrid
publication ^nn++++=publication
model ^nn++++=model
where ^wrb+who+++=where
authors ^nns++++=authors
could ^md+pos+++=could
optionally ^vb+++??+=optionally
pay ^nn++++=pay
Article ^nn++++=Article
Processing ^vwbg+++xvbg+=Processing
Charges ^nns++++=Charges
( ^zz++++=(APC)
apc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
make ^vbi++++=make
their ^pp$+pp3+++=their
articles ^nns++++=articles
Open ^jj+atrb+++=Open
Access ^nn++++=Access
the ^ati++++=the
journal ^nn++++=journal
published ^vbd+++xvbn+=published
300 ^cd++++=300
pages ^nns++++=pages
in ^in++++=in
its ^pp$+it+++=its
first ^od++++=first
year ^nn++++=year.
. ^zz++++=EXTRAWORD
By ^in++++=By
2010 ^cd++++=2010,
, ^zz++++=EXTRAWORD
annual ^jj+atrb+++=annual
output ^nn++++=output
had ^vbd+hvd+aux++=had
increased ^vprf+++xvbnx+=increased
to ^to++++=to
32,330 ^cd++++=32,330
pages ^nns++++=pages
( ^zz++++=(Zhang
zhang ^nn+++??+=EXTRAWORD
2011 ^cd++++=2011),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
Zootaxa ^np+++??+=Zootaxa
published ^vbd+++xvbn+=published
47,528 ^cd++++=47,528
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
2,400 ^cd++++=2,400
papers ^nns++++=papers
across ^in+pl+++=across
176 ^cd++++=176
volumes ^nns++++=volumes
( ^zz++++=(data
data ^nns++++=EXTRAWORD
compiled ^vwbn+++xvbn+=compiled
from ^in++++=from
Zootaxa ^np+++??+=Zootaxa
s ^zz++++=s
website ^nn+++??+=website).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
During ^in++++=During
its ^pp$+it+++=its
first ^od++++=first
decade ^nn++++=decade,
, ^zz++++=EXTRAWORD
Zootaxa ^np+++??+=Zootaxa
accounted ^vbd+++xvbn+=accounted
for ^in+ppvb+++=for
approximately ^rb+down+++=approximately
20 ^cd++++=20
25 ^cd++++=25%
% ^zz++++=EXTRAWORD
of ^in++++=of
new ^jj+atrb+++=new
zoological ^nn+++??+=zoological
names ^nns++++=names
published ^vbd+++xvbn+=published
annually ^rb++++=annually
( ^zz++++=(Zhang
zhang ^nn+++??+=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
past ^jjb++++=past
five ^cd++++=five
years ^nns++++=years,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
the ^ati++++=the
leading ^jj+atrb++xvbg+=leading
journal ^nn++++=journal
in ^in++++=in
descriptive ^jj+atrb+++=descriptive
taxonomy ^nn+++??+=taxonomy,
, ^zz++++=EXTRAWORD
with ^in++++=with
24,722 ^cd++++=24,722
newly ^rb++++=newly
established ^vbd+vprv++xvbn+=established
taxa ^nn+++??+=taxa
( ^zz++++=(26.57%
26.57 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj++++=total)
) ^zz++++=EXTRAWORD
published ^vbd+++xvbn+=published
( ^zz++++=(ION/Zoological
ion ^nn++++=EXTRAWORD
Recordstm ^np+++??+=RecordsTM
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
its ^pp$+it+++=its
relatively ^rb++++=relatively
recent ^jj+atrb+++=recent
inception ^nn++++=inception,
, ^zz++++=EXTRAWORD
the ^ati++++=the
journal ^nn++++=journal
has ^vbz+hvz+aux++=has
achieved ^vprf+++xvbnx+=achieved
considerable ^jj+atrb+++=considerable
status ^nn++++=status
and ^cc++++=and
visibility ^nn++++=visibility.
. ^zz++++=EXTRAWORD
Articles ^nns++++=Articles
published ^vbd+++xvbn+=published
in ^in++++=in
Zootaxa ^np+++??+=Zootaxa
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
cited ^vpsv++by+xvbnx+=cited
by ^in++++=by
taxonomists ^nn++++=taxonomists
compared ^vbd+++xvbn+=compared
to ^in++++=to
those ^dt+dem+++=those
in ^in++++=in
many ^ap++++=many
other ^ap++++=other
journals ^nns++++=journals
in ^in++++=in
the ^ati++++=the
field ^nn++++=field,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
generally ^rb+down+++=generally
have ^vb+hv+vrb++=have
lower ^jjr+atrb+++=lower
visibility ^nn++++=visibility.
. ^zz++++=EXTRAWORD
Zootaxa ^np+++??+=Zootaxa
is ^vbz+bez+aux++=is
frequently ^rb++splt++=frequently
selected ^vpsv++by+xvbnx+=selected
by ^in++++=by
early ^jj++++=early-career
- ^zz++++=EXTRAWORD
career ^nn++++=EXTRAWORD
taxonomists ^nns+++??+=taxonomists
for ^in++++=for
their ^pp$+pp3+++=their
initial ^jj+atrb+++=initial
publications ^nns++++=publications,
