Eleven ^cd++++=Eleven
days ^nns++++=days
after ^in++++=after
hospital ^npl++++=hospital
discharge ^nn++++=discharge,
, ^zz++++=EXTRAWORD
during ^in++++=during
which ^whp+rel+pied++=which
the ^ati++++=the
patient ^nn++++=patient
remained ^vbd+++xvbn+=remained
afebrile ^nn+++??+=afebrile
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
week ^nn++++=week,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
readmitted ^vpsv++agls+xvbnx+=readmitted
with ^in++++=with
a ^at++++=a
two ^cd++++=two-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
history ^nn++++=history
of ^in++++=of
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
acute ^jj++++=acute-onset
- ^zz++++=EXTRAWORD
onset ^nn++++=EXTRAWORD
right ^jj++++=right-sided
- ^zz++++=EXTRAWORD
sided ^nn+++??+=EXTRAWORD
back ^jjb+atrb+++=back
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respiratory ^jj+atrb+++=respiratory
discomfort ^nn++++=discomfort.
. ^zz++++=EXTRAWORD
On ^in++++=On
admission ^nn++++=admission,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
Spo2 ^np+++??+=SpO2
was ^vbd+bedz+vrb++=was
93 ^cd++++=93%
% ^zz++++=EXTRAWORD
on ^in++++=on
room ^nn++++=room
air ^nn++++=air,
, ^zz++++=EXTRAWORD
improving ^vbg+++xvbg+=improving
to ^in++++=to
over ^in++++=over
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
with ^in++++=with
1 ^zz++++=1
L ^zz++++=L/min
oxygen ^nn++++=oxygen
via ^in++++=via
nasal ^jj+atrb+++=nasal
catheter ^nn++++=catheter.
. ^zz++++=EXTRAWORD
Physical ^jj+atrb+++=Physical
examination ^nn++++=examination
revealed ^vbd+vprv++xvbn+=revealed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
afebrile ^nn+++??+=afebrile,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
heart ^nn++++=heart
rate ^nn++++=rate
of ^in++++=of
113 ^cd++++=113
beats ^nns++++=beats
per ^nnu++++=per
minute ^nn++++=minute,
, ^zz++++=EXTRAWORD
blood ^nn++++=blood
pressure ^nn++++=pressure
of ^in++++=of
136 ^cd++++=136/85
mmhg ^nn+++??+=mmHg,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respiratory ^jj+atrb+++=respiratory
rate ^nn++++=rate
of ^in++++=of
24 ^cd++++=24
breaths ^nns++++=breaths
per ^nnu++++=per
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
Thoracic ^np+++??+=Thoracic
auscultation ^jj+++??+=auscultation
demonstrated ^jj+++xvbn+=demonstrated
bilaterally ^jj+atrb++??+=bilaterally
reduced ^jj+atrb++xvbn+=reduced
vesicular ^nn+++??+=vesicular
breath ^nn++++=breath
sounds ^nns++++=sounds
and ^cc++++=and
bibasilar ^nn+++??+=bibasilar
crackles ^nns+++??+=crackles.
. ^zz++++=EXTRAWORD
Repeat ^nn++++=Repeat
non ^&fw++++=non-contrast
- ^zz++++=EXTRAWORD
contrast ^nn++++=EXTRAWORD
chest ^nn++++=chest
Ct ^np+++??+=CT
showed ^vbd+vprv++xvbn+=showed
increased ^vbd+++xvbn+=increased
bilateral ^nn+++??+=bilateral
and ^cc++++=and
multilobar ^jj+atrb++??+=multilobar
lung ^nn++++=lung
involvement ^nn++++=involvement
characterized ^nn+++??+=characterized
by ^in++++=by
predominantly ^rb++++=predominantly
peripheral ^jj+atrb+++=peripheral
multifocal ^nn+++??+=multifocal
opacities ^nns+++??+=opacities,
, ^zz++++=EXTRAWORD
consolidation ^nn++++=consolidation,
, ^zz++++=EXTRAWORD
new ^jj+atrb+++=new
subpleural ^nn+++??+=subpleural
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
additional ^jj+atrb+++=additional
ground ^nn++++=ground-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
opacities ^nns+++??+=opacities
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1b ^cd++++=1B).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
new ^jj++++=new
right ^jj++++=right-sided
- ^zz++++=EXTRAWORD
sided ^nn+++??+=EXTRAWORD
laminar ^nn+++??+=laminar
pleural ^nn+++??+=pleural
effusion ^nn+++??+=effusion
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
Compared ^j+++xvbn+=Compared
to ^in++++=to
the ^ati++++=the
initial ^jj+atrb+++=initial
Ct ^np+++??+=CT,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
increase ^nn++++=increase
in ^in++++=in
heart ^nn++++=heart
size ^nn++++=size
and ^cc++++=and
pulmonary ^jj+atrb++??+=pulmonary
trunk ^nn++++=trunk
diameter ^nn++++=diameter.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Wells ^np++++=Wells
score ^nn++++=score
for ^in++++=for
pulmonary ^nn+++??+=pulmonary
embolism ^nn+++??+=embolism
( ^zz++++=(PE)
pe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
less ^rbr++++=less
than ^in++++=than
2 ^zz++++=2
points ^nns++++=points.
. ^zz++++=EXTRAWORD
Laboratory ^nn++++=Laboratory
findings ^nns++++=findings
included ^vbd+++xvbn+=included
a ^at++++=a
white ^jj+atrb+++=white
blood ^nn++++=blood
cell ^nn++++=cell
count ^nn++++=count
of ^in++++=of
11,090 ^cd++++=11,090/mm
( ^zz++++=(neutrophils
neutrophils ^nns+++??+=EXTRAWORD
8,320 ^cd++++=8,320/mm
; ^zz++++=;
lymphocytes ^nns+++??+=lymphocytes
1,600 ^cd++++=1,600/mm
; ^zz++++=;
monocytes ^nns+++??+=monocytes
1,090 ^cd++++=1,090/mm
) ^zz++++=),
, ^zz++++=EXTRAWORD
hemoglobin ^nn+++??+=hemoglobin
13.9 ^cd++++=13.9
g ^zz++++=g/dL,
platelet ^nn+++??+=platelet
count ^npt++++=count
296,000 ^cd++++=296,000/mm
, ^zz++++=,
serum ^nn++++=serum
D ^zz++++=D-dimer
- ^zz++++=EXTRAWORD
dimer ^nn+++??+=EXTRAWORD
2,317 ^cd++++=2,317
ng ^nn+++??+=ng/mL
Feu ^nn++++=FEU
( ^zz++++=(upper
upper ^jjb++++=EXTRAWORD
limit ^vb++++=limit
of ^in++++=of
normal ^jj++++=normal,
, ^zz++++=EXTRAWORD
500 ^cd++++=500
ng ^nn+++??+=ng/mL
Feu ^nn++++=FEU),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
normal ^jj+atrb+++=normal
troponin ^nn+++??+=troponin
I ^pp1a+pp1+++=I
( ^zz++++=(<0.16
< ^zz++++=EXTRAWORD
0.16 ^nn+++??+=EXTRAWORD
ng ^nn+++??+=ng/mL),
C ^zz++++=C-reactive
- ^zz++++=EXTRAWORD
reactive ^nn+++??+=EXTRAWORD
protein ^nn++++=protein
5.08 ^cd++++=5.08
mg ^nnu++++=mg/dL
( ^zz++++=(reference
reference ^nn++++=EXTRAWORD
< ^zz++++=<1.00
1.00 ^cd++++=EXTRAWORD
mg ^nnu++++=mg/dL),
lactate ^nn+++??+=lactate
dehydrogenase ^nn+++??+=dehydrogenase
613 ^cd++++=613
U ^zz++++=U/L
( ^zz++++=(upper
upper ^jjb++++=EXTRAWORD
limit ^vb++++=limit
of ^in++++=of
normal ^jj++++=normal,
, ^zz++++=EXTRAWORD
480 ^cd++++=480
U ^zz++++=U/L),
prothrombin ^nn+++??+=prothrombin
time ^nn++++=time
14.2 ^cd++++=14.2
s ^zz++++=s
( ^zz++++=(reference
reference ^nn++++=EXTRAWORD
range ^nn++++=range
10.1 ^cd++++=10.1
12.8 ^cd++++=12.8
s ^zz++++=s),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
activated ^jj+atrb++??+=activated
partial ^jj+atrb+++=partial
thromboplastin ^nn+++??+=thromboplastin
time ^nn++++=time
28.9 ^cd++++=28.9
s ^zz++++=s
( ^zz++++=(reference
reference ^nn++++=EXTRAWORD
range ^nn++++=range
25.4 ^cd++++=25.4
33.4 ^cd++++=33.4
s ^zz++++=s).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Repeat ^vb++++=Repeat
rrt ^nn+++??+=rRT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
of ^in++++=of
a ^at++++=a
nasopharyngeal ^nn+++??+=nasopharyngeal
swab ^nn++++=swab
