Table ^nn++++=Table
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
gender ^nn++++=gender-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
frequency ^nn++++=frequency
distributions ^nns++++=distributions
for ^in++++=for
the ^ati++++=the
Peritraumatic ^np+++??+=Peritraumatic
Distress ^nn++++=Distress
Scale ^nn++++=Scale
( ^zz++++=(CPDI)
cpdi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Fear ^nn++++=Fear
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
Scale ^nn++++=Scale
( ^zz++++=(FCV-19S).
fcv ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
19s ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
On ^in++++=On
both ^abx++++=both
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
women ^nns++++=women
exhibit ^vb++++=exhibit
higher ^jjr+atrb+++=higher
mean ^jj+atrb+++=mean
scores ^nns++++=scores
compared ^vbd+++xvbn+=compared
to ^in++++=to
men ^nns++++=men.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
Cpdi ^np+++??+=CPDI,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
women ^nns++++=women
fall ^nn++++=fall
within ^in++++=within
the ^ati++++=the
mild ^jj++++=mild
( ^zz++++=(47.3%)
47.3 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
severe ^jj++++=severe
( ^zz++++=(27.2%)
27.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
distress ^nn++++=distress
categories ^nns++++=categories,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
men ^nns++++=men
are ^vb+ber+aux++=are
primarily ^rb+down+splt++=primarily
represented ^vpsv++agls+xvbnx+=represented
in ^in++++=in
the ^ati++++=the
normal ^jj++++=normal
( ^zz++++=(41.6%)
41.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
mild ^jj++++=mild
( ^zz++++=(48.4%)
48.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
categories ^nns++++=categories.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
Fcv ^np+++??+=FCV-19S,
- ^zz++++=EXTRAWORD
19s ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
women ^nns++++=women
are ^vb+ber+aux++=are
classified ^vpsv++agls+xvbnx+=classified
at ^rb++++=at
the ^ati++++=the
mild ^jj+atrb+++=mild
level ^nn++++=level
( ^zz++++=(44.5%),
44.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
men ^nns++++=men
are ^vb+ber+vrb++=are
at ^rb++++=at
the ^ati++++=the
normal ^jj+atrb+++=normal
level ^nn++++=level
( ^zz++++=(68.8%).
68.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
higher ^jjr+atrb+++=higher
proportion ^nn++++=proportion
of ^in++++=of
women ^nns++++=women
( ^zz++++=(15.4%)
15.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
than ^in++++=than
men ^nns++++=men
( ^zz++++=(4.8%)
4.8 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
categorized ^nn++++=categorized
at ^rb++++=at
the ^ati++++=the
severe ^jj+atrb+++=severe
level ^nn++++=level
on ^in++++=on
the ^ati++++=the
fcv ^np++++=FCV-19S.
- ^zz++++=EXTRAWORD
19s. ^nn+date+++=EXTRAWORD
