By ^in++++=By
applying ^xvbg+++xvbg+=applying
Price ^np++++=Price's
's ^$++++=EXTRAWORD
Law ^nn++++=Law
of ^in++++=of
Elitism ^np+++??+=Elitism,
, ^zz++++=EXTRAWORD
the ^ati++++=the
elite ^nn++++=elite
group ^nn++++=group
of ^in++++=of
authors ^nns++++=authors
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
those ^dt+dem+++=those
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
square ^jj+atrb+++=square
root ^nn++++=root
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case
was ^vbd+bedz+vrb++=was
82 ^cd++++=82.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
elite ^nn++++=elite
group ^nn++++=group
accounted ^vbd+++xvbn+=accounted
for ^in+ppvb+++=for
66.1 ^cd++++=66.1%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
documents ^nns++++=documents
retrieved ^vbd+++xvbn+=retrieved,
, ^zz++++=EXTRAWORD
substantially ^rb++++=substantially
exceeding ^vbg+++xvbg+=exceeding
the ^ati++++=the
minimum ^jj+atrb+++=minimum
threshold ^nn++++=threshold
of ^in++++=of
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
proposed ^vpsv++by+xvbn+=proposed
by ^in++++=by
the ^ati++++=the
Law ^nn++++=Law
of ^in++++=of
Elitism ^np+++??+=Elitism.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
noteworthy ^jj+pred+++=noteworthy
that ^tht+jcmp+++=that
the ^ati++++=the
productivity ^nn++++=productivity
index ^nn++++=index
was ^vbd+bedz+vrb++=was
relatively ^rb++++=relatively
low ^jj+pred+++=low
at ^in++++=at
1.65 ^cd++++=1.65,
, ^zz++++=EXTRAWORD
a ^at++++=a
result ^nn++++=result
primarily ^rb+down+++=primarily
attributable ^jj++++=attributable
to ^in++++=to
the ^ati++++=the
high ^jj+atrb+++=high
proportion ^nn++++=proportion
of ^in++++=of
occasional ^jj+atrb+++=occasional
authors ^nns++++=authors.
. ^zz++++=EXTRAWORD
