As ^in++++=As
the ^ati++++=the
initial ^jj+atrb+++=initial
module ^nn+++??+=module
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
project ^nn++++=project
titled ^vbd+++xvbn+=titled
" ^zz++++="Physical,
physical ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Psychological ^jj++++=Psychological,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Cognitive ^np+++??+=Cognitive
Reactions ^nns++++=Reactions
to ^in++++=to
Covid ^np+++??+=Covid-19,"
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
cross ^jj++++=cross-sectional
- ^zz++++=EXTRAWORD
sectional ^jj+atrb+++=EXTRAWORD
survey ^nn++++=survey
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
from ^in++++=from
April ^nr++++=April
12 ^cd++++=12
to ^to++++=to
18 ^cd++++=18
with ^in++++=with
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
assessing ^xvbg+++xvbg+=assessing
peri ^nn+++??+=peri-traumatic
- ^zz++++=EXTRAWORD
traumatic ^jj+atrb+++=EXTRAWORD
stress ^nn++++=stress
and ^cc++++=and
fear ^vb++++=fear
as ^ql++++=as
psychological ^jj+atrb+++=psychological
responses ^nns++++=responses
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Data ^nns++++=Data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
using ^vbg+++xvbg+=using
an ^at++++=an
online ^nn+++??+=online
questionnaire ^nn++++=questionnaire
distributed ^vwbn+++xvbn+=distributed
via ^in++++=via
Google ^np+++??+=Google
Forms ^nns++++=Forms,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
served ^vbd+++xvbn+=served
as ^ql++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
tool ^nn++++=tool
for ^in++++=for
gathering ^nn++++=gathering
participant ^nn++++=participant
responses ^nns++++=responses.
. ^zz++++=EXTRAWORD
