The ^ati++++=The
model ^nn++++=model
was ^vbd+bedz+aux++=was
developed ^vpsv++agls+xvbnx+=developed
with ^in++++=with
reference ^nn++++=reference
to ^in++++=to
the ^ati++++=the
public ^jj+atrb+++=public
policies ^nns++++=policies
and ^cc++++=and
social ^jj+atrb+++=social
conditions ^nns++++=conditions
specific ^jj++++=specific
to ^in++++=to
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
that ^tht+vcmp+++=that
this ^dt+dem+++=this
model ^nn++++=model
may ^md+pos+++=may
also ^rb++splt++=also
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
framework ^nn++++=framework
for ^in++++=for
interventions ^nns++++=interventions
in ^in++++=in
other ^ap++++=other
contexts ^nns++++=contexts
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
provision ^nn++++=provision
of ^in++++=of
adequate ^jj+atrb+++=adequate
food ^nn++++=food
to ^in++++=to
students ^nns++++=students
during ^in++++=during
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
