Among ^in++++=Among
the ^ati++++=the
core ^nn++++=core
traits ^nns++++=traits
examined ^vwbn+++xvbn+=examined,
, ^zz++++=EXTRAWORD
open ^jj+atrb+++=open
identities ^nns+++??+=identities
received ^vbd+++xvbn+=received
the ^ati++++=the
least ^rbt++++=least
support ^nn++++=support,
, ^zz++++=EXTRAWORD
with ^in++++=with
few ^ap++++=few
participants ^nns++++=participants
indicating ^vb+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
this ^dt+dem+++=this
approach ^nn++++=approach
would ^md+prd+++=would
improve ^vb++++=improve
peer ^nn++++=peer
review ^nn++++=review
overall ^jjb++++=overall
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
nearly ^rb+down+++=nearly
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
participants ^nns++++=participants
agreed ^vbd+vpub++xvbn+=agreed
that ^tht+vcmp+++=that
open ^jj+atrb+++=open
identities ^nns+++??+=identities
could ^md+pos+++=could
enhance ^vb++++=enhance
the ^ati++++=the
quality ^nn++++=quality
of ^in++++=of
reviewer ^nn++++=reviewer
reports ^nns++++=reports
and ^cc++++=and
that ^cs+sub+++=that
both ^abx++++=both
reviewers ^nns++++=reviewers
and ^cc++++=and
authors ^nns++++=authors
should ^md+nec+++=should
have ^vb+hv+vrb++=have
the ^ati++++=the
option ^nn++++=option
to ^to++++=to
disclose ^vbi++++=disclose
their ^pp$+pp3+++=their
identities ^nns+++??+=identities
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
4 ^zz++++=4),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
concerns ^vbz++++=concerns
remained ^vprf+++xvbn+=remained.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
participants ^nns++++=participants
expressed ^vbd+++xvbn+=expressed
apprehension ^nn++++=apprehension
that ^tht+rel+++=that
open ^jj+atrb+++=open
identities ^nns+++??+=identities
might ^md+pos+++=might
discourage ^vb++++=discourage
reviewers ^nns++++=reviewers
from ^in++++=from
accepting ^xvbg+++xvbg+=accepting
review ^nn++++=review
invitations ^nns++++=invitations,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
fewer ^ap++++=fewer
believed ^jj+++xvbn+=believed
it ^pp3+it+++=it
would ^md+prd+++=would
deter ^vb++++=deter
authors ^nns++++=authors
from ^in++++=from
submitting ^xvbg+++xvbg+=submitting
manuscripts ^nns++++=manuscripts.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
a ^at++++=a
small ^jj+atrb+++=small
proportion ^nn++++=proportion
of ^in++++=of
participants ^nns++++=participants
considered ^vwbn+vprv++xvbn+=considered
open ^jj+atrb+++=open
identities ^nns++++=identities
to ^to++++=to
be ^vbi++vrb++=be
fairer ^jjr+pred+++=fairer
than ^in++++=than
traditional ^jj+atrb+++=traditional
peer ^nn++++=peer
review ^nn++++=review.
. ^zz++++=EXTRAWORD
