Elective ^np+++??+=Elective
surgeries ^nns++++=surgeries
were ^vbd+bed+aux++=were
maintained ^vpsv++agls+xvbnx+=maintained
only ^rb+down+++=only
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
have ^vbi++++=have
an ^at++++=an
immediate ^jj+atrb+++=immediate
impact ^nn++++=impact
on ^in++++=on
patients ^nns++++=patients
quality ^nn++++=quality
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
reduce ^vb++++=reduce
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
decrease ^nn++++=decrease
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
amputation ^nn++++=amputation.
. ^zz++++=EXTRAWORD
