Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
Future ^jjb++++=Future
real ^jj++++=real-world
- ^zz++++=EXTRAWORD
world ^nn++++=EXTRAWORD
case ^nn++++=case
series ^nn++++=series
involving ^vwbg+++xvbg+=involving
patients ^nns++++=patients
with ^in++++=with
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS)
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
or ^cc++++=or
neuromyelitis ^nns+++??+=neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD)
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
who ^whp+who+++=who
are ^vb+ber+aux++=are
infected ^vpsv++agls+xvbnx+=infected
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+vrb++=be
essential ^nn++++=essential
for ^in++++=for
determining ^xvbg+++xvbg+=determining
optimal ^jj+atrb+++=optimal
management ^nn++++=management
strategies ^nns+++??+=strategies.
. ^zz++++=EXTRAWORD
Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
clinical ^jj+atrb+++=clinical
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
guided ^vpsv++by+xvbn+=guided
by ^in++++=by
expert ^jj+atrb+++=expert
opinion ^nn++++=opinion
and ^cc++++=and
existing ^jj+atrb+++=existing
recommendations ^nns++++=recommendations.
. ^zz++++=EXTRAWORD
