Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
the ^ati++++=the
gender ^nn++++=gender
dimensions ^nns++++=dimensions
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic
are ^vb+ber+vrb++=are
both ^abx++++=both
biological ^jj++++=biological
and ^cc++++=and
socially ^rb++++=socially
constructed ^vbd+++xvbn+=constructed,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
differential ^jj+atrb+++=differential
impacts ^nns+++??+=impacts
on ^in++++=on
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
( ^zz++++=(Smith,
smith ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
women ^nns++++=women
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
perceived ^vpsv++agls+xvbnx+=perceived
as ^ql++++=as
being ^jj+++xvbg+=being
more ^rbr++++=more
aware ^jj++++=aware
of ^in++++=of
their ^pp$+pp3+++=their
healthcare ^nn+++??+=healthcare
needs ^nns++++=needs,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
adhere ^vbi++++=adhere
to ^in++++=to
counseling ^nn+++??+=counseling
and ^cc++++=and
treatment ^nn++++=treatment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
seek ^vbi++++=seek
healthcare ^nn+++??+=healthcare
services ^nns++++=services
than ^in++++=than
men ^nns++++=men
( ^zz++++=(Rugema
rugema ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
tendency ^nn++++=tendency
may ^md+pos+++=may
account ^vb++++=account
for ^in++++=for
the ^ati++++=the
higher ^jjr+atrb+++=higher
proportion ^nn++++=proportion
of ^in++++=of
female ^jj+atrb+++=female
respondents ^nns++++=respondents
in ^in++++=in
this ^dt+pdem+++=this
and ^cc++++=and
similar ^jj+atrb+++=similar
surveys ^nns++++=surveys
( ^zz++++=(Lauri
lauri ^nn++++=EXTRAWORD
korajlija ^np++++=Korajlija
& ^zz++++=&
jokic ^np++++=Jokic
begic ^np++++=Begic,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
