Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
The ^ati++++=The
approach ^nn++++=approach
to ^in++++=to
dental ^jj+atrb+++=dental
education ^nn++++=education
is ^vbz+bez+aux++=is
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
phase ^nn++++=phase
of ^in++++=of
the ^ati++++=the
epidemic ^nn++++=epidemic
and ^cc++++=and
the ^ati++++=the
specific ^jj+atrb+++=specific
contextual ^nn++++=contextual
factors ^nns++++=factors
of ^in++++=of
each ^dt++++=each
country ^nn++++=country.
. ^zz++++=EXTRAWORD
