With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
leisure ^nn++++=leisure
and ^cc++++=and
free ^jj+atrb+++=free
time ^nn++++=time
activities ^nns++++=activities
conducted ^vbd+++xvbn+=conducted
using ^vbg+++xvbg+=using
a ^at++++=a
computer ^nn++++=computer,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
videos ^nns+++??+=videos
is ^vbz+bez+vrb++=is
the ^ati++++=the
most ^ql+emph+++=most
prevalent ^jj+atrb+++=prevalent
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
reported ^vpbn+vpub++xvbn+=reported
by ^in++++=by
42.2 ^cd++++=42.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
watching ^xvbg+++xvbg+=watching
television ^nn++++=television
at ^in++++=at
19.6 ^cd+date+++=19.6%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
individuals ^nns++++=individuals
engaging ^vwbg+++xvbg+=engaging
in ^in++++=in
other ^ap++++=other
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
listening ^jj+++xvbg+=listening
to ^in++++=to
music ^nn++++=music
or ^cc++++=or
radio ^nn++++=radio,
, ^zz++++=EXTRAWORD
remains ^nns++++=remains
below ^rb++++=below
5 ^zz++++=5%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
