Since ^in++++=Since
2012 ^cd++++=2012,
, ^zz++++=EXTRAWORD
increased ^jj+atrb++xvbn+=increased
emphasis ^nn++++=emphasis
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
placed ^vpsv++agls+xvbnx+=placed
on ^in++++=on
English ^jj+atrb+++=English
language ^nn++++=language
proficiency ^nn++++=proficiency
within ^in++++=within
the ^ati++++=the
educational ^jj+atrb+++=educational
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
recognizing ^vbg+++xvbg+=recognizing
its ^pp$+it+++=its
significance ^nn++++=significance
for ^in++++=for
academic ^jj+atrb+++=academic
and ^cc+phrs+++=and
professional ^jj+atrb+++=professional
advancement ^nn++++=advancement.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
English ^jj+atrb+++=English
teachers ^nns++++=teachers
across ^in+pl+++=across
the ^ati++++=the
country ^nn++++=country
are ^vb+ber+aux++=are
encouraged ^vpsv++agls+xvbnx+=encouraged
to ^to+vcmp+++=to
employ ^vbi++++=employ
innovative ^nn+++??+=innovative
and ^cc++++=and
effective ^jj+atrb+++=effective
instructional ^jj+atrb+++=instructional
methods ^nns++++=methods
to ^to++++=to
enhance ^vbi++++=enhance
language ^nn++++=language
acquisition ^nn++++=acquisition,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
improving ^nn++++=improving
learning ^vwbg+vprv++xvbg+=learning
outcomes ^nns+++??+=outcomes
and ^cc++++=and
facilitating ^vbg+++xvbg+=facilitating
greater ^jjr+atrb+++=greater
international ^jj+atrb+++=international
engagement ^nn++++=engagement
for ^in++++=for
both ^abx++++=both
the ^ati++++=the
nation ^nn++++=nation
and ^cc++++=and
its ^pp$+it+++=its
citizens ^nns++++=citizens.
. ^zz++++=EXTRAWORD
