During ^in++++=During
field ^nn++++=field
sampling ^nn++++=sampling
at ^rb++++=at
each ^dt++++=each
site ^nn++++=site,
, ^zz++++=EXTRAWORD
10 ^cd++++=10
leaves ^nns++++=leaves
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
submerged ^nn++++=submerged
mixed ^vbd+++xvbn+=mixed
leaf ^nn++++=leaf
litter ^nn++++=litter
at ^in++++=at
a ^at++++=a
depth ^nn++++=depth
of ^in++++=of
approximately ^rb+down+++=approximately
30 ^cd++++=30
cm ^nnu++++=cm
using ^xvbg+++xvbg+=using
sterilized ^vbd+++xvbn+=sterilized
tweezers ^nns+++??+=tweezers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
collected ^jj+atrb++xvbn+=collected
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
water ^nn++++=water
from ^in++++=from
the ^ati++++=the
sampling ^nn++++=sampling
location ^nn++++=location,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
pre ^nn+++??+=pre-sterilized
- ^zz++++=EXTRAWORD
sterilized ^vbd+++xvbn+=EXTRAWORD
200 ^cd++++=200
ml ^nnu++++=mL
polyethylene ^nn++++=polyethylene
bottles ^nns++++=bottles.
. ^zz++++=EXTRAWORD
A ^at++++=A
total ^nn++++=total
of ^in++++=of
72 ^cd++++=72
samples ^nns++++=samples
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
throughout ^in++++=throughout
the ^ati++++=the
study ^nn++++=study
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
transported ^vpsv++agls+xvbn+=transported
to ^in++++=to
the ^ati++++=the
laboratory ^nn++++=laboratory
for ^in++++=for
further ^jjb+atrb+++=further
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
