There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
preference ^nn++++=preference
for ^in++++=for
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
disease ^nn++++=disease-modifying
- ^zz++++=EXTRAWORD
modifying ^vbg+++xvbg+=EXTRAWORD
therapies ^nns+++??+=therapies
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
lower ^nn++++=lower
risk ^vb++++=risk
of ^in++++=of
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
interferons ^nns+++??+=interferons,
, ^zz++++=EXTRAWORD
glatiramer ^nn+++??+=glatiramer
acetate ^nn+++??+=acetate,
, ^zz++++=EXTRAWORD
teriflunomide ^nn+++??+=teriflunomide,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
natalizumab ^nn+++??+=natalizumab.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
extended ^j+++xvbn+=extended-interval
- ^zz++++=EXTRAWORD
interval ^nn++++=EXTRAWORD
dosing ^nn++++=dosing
of ^in++++=of
natalizumab ^nn+++??+=natalizumab
is ^vbz+bez+vrb++=is
favored ^nn+++??+=favored
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
considered ^vbd+vprv++xvbn+=considered
safe ^jj++++=safe
for ^in++++=for
the ^ati++++=the
patient ^nn++++=patient.
. ^zz++++=EXTRAWORD
