The ^ati++++=The
Kmo ^np+++??+=KMO
value ^nn++++=value
exceeded ^vbd+++xvbn+=exceeded
0.90 ^nn+++??+=0.90,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
the ^ati++++=the
sample ^nn++++=sample
size ^nn++++=size
was ^vbd+bedz+vrb++=was
adequate ^jj+pred+++=adequate
for ^in++++=for
conducting ^xvbg+++xvbg+=conducting
exploratory ^jj+atrb+++=exploratory
factor ^nn++++=factor
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Parallel ^nn++++=Parallel
analysis ^nn++++=analysis
supported ^vbd+++xvbn+=supported
a ^at++++=a
two ^cd++++=two-factor
- ^zz++++=EXTRAWORD
factor ^nn++++=EXTRAWORD
model ^nn++++=model,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Kaiser ^npt++++=Kaiser
s ^zz++++=s
criterion ^np++++=criterion
suggested ^vbd+vpub++xvbn+=suggested
a ^at++++=a
three ^cd++++=three-factor
- ^zz++++=EXTRAWORD
factor ^nn++++=EXTRAWORD
model ^nn++++=model;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
both ^abx++++=both
twoand ^nn+++??+=twoand
three ^cd++++=three-factor
- ^zz++++=EXTRAWORD
factor ^nn++++=EXTRAWORD
models ^nns++++=models
were ^vbd+bed+aux++=were
evaluated ^vpsv++agls+xvbnx+=evaluated
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Table ^nn++++=Table
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
two ^cd++++=two-factor
- ^zz++++=EXTRAWORD
factor ^nn++++=EXTRAWORD
model ^nn++++=model,
, ^zz++++=EXTRAWORD
the ^ati++++=the
item ^nn++++=item
order ^nn++++=order
in ^in++++=in
the ^ati++++=the
health ^nn++++=health
service ^nn++++=service
and ^cc++++=and
labor ^jj+atrb++??+=labor
organization ^nn++++=organization
( ^zz++++=(variable
variable ^nn++++=EXTRAWORD
c2p81_2 ^nn+++??+=c2p81_2)
) ^zz++++=EXTRAWORD
exhibited ^vbd+++xvbn+=exhibited
factor ^nn++++=factor
complexity ^nn++++=complexity,
, ^zz++++=EXTRAWORD
as ^ql++++=as
its ^pp$+it+++=its
loadings ^nns++++=loadings
on ^in++++=on
the ^ati++++=the
first ^od++++=first
and ^cc++++=and
second ^od++++=second
factors ^nns++++=factors
did ^vbd+dod+aux++=did
not ^xnot++not++=not
differ ^vb++++=differ
substantially ^rb+cnj+++=substantially,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
its ^pp$+it+++=its
exclusion ^nn++++=exclusion
from ^in++++=from
further ^jjb+atrb+++=further
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
items ^nns++++=items
related ^vbd+++xvbn+=related
to ^in++++=to
satisfaction ^nn++++=satisfaction
with ^in++++=with
hours ^nns++++=hours
or ^cc++++=or
salary ^nn++++=salary
( ^zz++++=(c2p81_7),
c2p81_7 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
training ^nn++++=training
opportunities ^nns++++=opportunities
( ^zz++++=(c2p81_10),
c2p81_10 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
completion ^nn++++=completion
of ^in++++=of
medical ^jj+atrb+++=medical
records ^nns++++=records
( ^zz++++=(c2p81_15),
c2p81_15 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respect ^nn++++=respect
for ^in++++=for
patients ^nns++++=patients
( ^zz++++=(c2p81_16)
c2p81_16 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
demonstrated ^vbd+vprv++xvbn+=demonstrated
very ^ql+amp+++=very
low ^jj+atrb+++=low
factor ^nn++++=factor
loadings ^nns++++=loadings
and ^cc++++=and
were ^vbd+bed+aux++=were
also ^rb++splt++=also
removed ^vpsv++agls+xvbnx+=removed.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
three ^cd++++=three-factor
- ^zz++++=EXTRAWORD
factor ^nn++++=EXTRAWORD
model ^nn++++=model,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
factor ^nn++++=factor
was ^vbd+bedz+vrb++=was
unstable ^jj++++=unstable
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
very ^ql+amp+++=very
few ^ap++++=few
items ^nns++++=items,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
rejection ^nn++++=rejection
of ^in++++=of
this ^dt+dem+++=this
model ^nn++++=model.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
two ^cd++++=two-factor
- ^zz++++=EXTRAWORD
factor ^nn++++=EXTRAWORD
model ^nn++++=model
was ^vbd+bedz+aux++=was
retained ^vpsv++agls+xvbnx+=retained
for ^in++++=for
further ^jjb+atrb+++=further
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
excluding ^xvbg+++xvbg+=excluding
the ^ati++++=the
five ^cd++++=five
problematic ^nn+++??+=problematic
items ^nns++++=items
identified ^vwbn+++xvbn+=identified
( ^zz++++=(c2p81_2,
c2p81_2 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
c2p81_7 ^nn++++=c2p81_7,
, ^zz++++=EXTRAWORD
c2p81_10 ^nn++++=c2p81_10,
, ^zz++++=EXTRAWORD
c2p81_15 ^nn++++=c2p81_15,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
c2p81_16 ^nn++++=c2p81_16).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
