Non ^&fw++++=Non-enhanced
- ^zz++++=EXTRAWORD
enhanced ^vbd+++xvbn+=EXTRAWORD
chest ^nn++++=chest
Ct ^np+++??+=CT
is ^vbz+bez+aux++=is
widely ^rb++splt++=widely
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
the ^ati++++=the
first ^od++++=first-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
imaging ^nn+++??+=imaging
modality ^nn+++??+=modality
for ^in++++=for
the ^ati++++=the
evaluation ^nn++++=evaluation
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pneumonia ^nn++++=pneumonia.
. ^zz++++=EXTRAWORD
Certain ^jj+atrb+++=Certain
ancillary ^jj+atrb+++=ancillary
findings ^nns++++=findings
on ^in++++=on
non ^&fw++++=non-enhanced
- ^zz++++=EXTRAWORD
enhanced ^vbd+++xvbn+=EXTRAWORD
Ct ^np+++??+=CT,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
peripheral ^jj+atrb+++=peripheral
lung ^nn++++=lung
opacities ^nns+++??+=opacities
with ^in++++=with
features ^nns++++=features
indicative ^nn++++=indicative
of ^in++++=of
pulmonary ^nn+++??+=pulmonary
infarction ^nn++++=infarction
( ^zz++++=(including
including ^in++++=EXTRAWORD
the ^ati++++=the
reversed ^jj+atrb++xvbn+=reversed
halo ^nn++++=halo
sign ^nn++++=sign
or ^cc++++=or
central ^jj+atrb+++=central
lucencies ^nns+++??+=lucencies),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dilatation ^nn++++=dilatation
of ^in++++=of
the ^ati++++=the
pulmonary ^nn+++??+=pulmonary
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increased ^jj+atrb++xvbn+=increased
cardiac ^jj+atrb+++=cardiac
volume ^nn++++=volume
particularly ^rb++++=particularly
enlargement ^nn++++=enlargement
of ^in++++=of
the ^ati++++=the
right ^jj+atrb+++=right
