Data ^nns++++=Data
on ^in++++=on
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
rapid ^jj+atrb+++=rapid
tests ^nns++++=tests
performed ^vwbn+++xvbn+=performed
per ^nnu++++=per
1,000 ^cd++++=1,000
inhabitants ^nns++++=inhabitants
between ^in++++=between
March ^nn++++=March
4 ^zz++++=4
and ^cc++++=and
June ^nr++++=June
22 ^cd++++=22,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
from ^in++++=from
the ^ati++++=the
e ^zz++++=e-SUS
- ^zz++++=EXTRAWORD
sus ^nns+++??+=EXTRAWORD
Epidemiological ^np+++??+=Epidemiological
Surveillance ^nn++++=Surveillance
platform ^nn++++=platform
( ^zz++++=(e-SUS
e ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
sus ^nns+++??+=EXTRAWORD
Ve ^np+++??+=VE)
) ^zz++++=EXTRAWORD
via ^in++++=via
the ^ati++++=the
Datasus ^np+++??+=DATASUS
system ^nn++++=system.
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
tests ^nns++++=tests
conducted ^vbd+++xvbn+=conducted
between ^in++++=between
March ^nn++++=March
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
June ^nr++++=June
21 ^cd++++=21,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
extracted ^vpsv++agls+xvbn+=extracted
from ^in++++=from
the ^ati++++=the
laboratory ^nn++++=Laboratory
environment ^nn++++=Environment
manager ^nn++++=Manager
platform ^nn++++=platform.
. ^zz++++=EXTRAWORD
