A ^at++++=A
comprehensive ^jj+atrb+++=comprehensive
ethological ^nn+++??+=ethological,
, ^zz++++=EXTRAWORD
behavioral ^jj++++=behavioral,
, ^zz++++=EXTRAWORD
systematic ^jj++++=systematic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
evolutionary ^jj++++=evolutionary
understanding ^jj+++xvbg+=understanding
of ^in++++=of
Triatominae ^np+++??+=Triatominae
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
novel ^nn++++=novel
control ^nn++++=control
programs ^nns+++??+=programs.
. ^zz++++=EXTRAWORD
In ^in++++=In
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
investigating ^vbg+++xvbg+=investigating
the ^ati++++=the
instinctive ^jj+atrb+++=instinctive
behaviors ^nns+++??+=behaviors
of ^in++++=of
Belminus ^np+++??+=Belminus
and ^cc++++=and
other ^ap++++=other
triatomine ^nn+++??+=triatomine
species ^nns++++=species
is ^vbz+bez+vrb++=is
critical ^jj+pred+++=critical
for ^in++++=for
designing ^nn++++=designing
experiments ^nns++++=experiments
that ^tht+rel+obj++=that
aim ^vb++++=aim
to ^to+vcmp+++=to
improve ^vb++++=improve
control ^nn++++=control
technologies ^nns++++=technologies.
. ^zz++++=EXTRAWORD
