Application ^nn++++=Application
of ^in++++=of
Bradford ^np++++=Bradford's
's ^$++++=EXTRAWORD
Law ^nn++++=Law
to ^in++++=to
analyze ^nn+++??+=analyze
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
journals ^nns++++=journals,
, ^zz++++=EXTRAWORD
as ^in++++=as
presented ^nn++++=presented
in ^in++++=in
Table ^nn++++=Table
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
enabled ^jj+atrb++xvbn+=enabled
identification ^nn++++=identification
of ^in++++=of
a ^at++++=a
constant ^jj+atrb+++=constant
Bradford ^np++++=Bradford
Multiplier ^np+++??+=Multiplier
( ^zz++++=(Bm),
bm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
variation ^nn++++=variation
between ^in++++=between
the ^ati++++=the
Bm ^np+++??+=Bm
values ^nns++++=values
across ^in+pl+++=across
the ^ati++++=the
zones ^nns++++=zones
remaining ^vwbg+++xvbg+=remaining
within ^in++++=within
the ^ati++++=the
acceptable ^jj+atrb+++=acceptable
range ^nn++++=range
of ^in++++=of
0.7 ^nn+++??+=0.7,
, ^zz++++=EXTRAWORD
as ^in++++=as
specified ^nn++++=specified
by ^in++++=by
the ^ati++++=the
law ^nn++++=law.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
result ^nn++++=result
indicates ^vbz+vpub+++=indicates
a ^at++++=a
distribution ^nn++++=distribution
pattern ^nn++++=pattern
closely ^rb++++=closely
approximating ^vbg+++xvbg+=approximating
the ^ati++++=the
ideal ^jj++++=ideal
( ^zz++++=(1:n:n
1:n:n ^cd++++=EXTRAWORD
) ^zz++++=)
as ^cs+sub+++=as
defined ^vpsv++by+xvbn+=defined
by ^in++++=by
Bradford ^np++++=Bradford's
's ^$++++=EXTRAWORD
Law ^nn++++=Law.
. ^zz++++=EXTRAWORD
The ^ati++++=The
core ^nn++++=core,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
nucleus ^nn++++=nucleus,
, ^zz++++=EXTRAWORD
consisted ^j+++xvbn+=consisted
of ^in++++=of
15 ^cd++++=15
journals ^nns++++=journals,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
dedicated ^vwbn+++xvbn+=dedicated
to ^to++++=to
the ^ati++++=the
subject ^nn++++=subject
under ^in++++=under
investigation ^nn++++=investigation.
. ^zz++++=EXTRAWORD
