If ^cs+cnd+++=If
left ^vprf+++xvbn+=left
untreated ^nn+++??+=untreated,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
neuromyelitis ^nns+++??+=neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD)
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
will ^md+prd+++=will
develop ^vb++++=develop
severe ^jj+atrb+++=severe
disability ^nn++++=disability,
, ^zz++++=EXTRAWORD
including ^in++++=including
wheelchair ^nn+++??+=wheelchair
dependence ^nn++++=dependence
and ^cc++++=and
blindness ^nn++++=blindness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one-third
- ^zz++++=EXTRAWORD
third ^od++++=EXTRAWORD
will ^md+prd+++=will
die ^vb++++=die
within ^in++++=within
five ^cd++++=five
years ^nns++++=years
of ^in++++=of
their ^pp$+pp3+++=their
initial ^jj+atrb+++=initial
attack ^nn++++=attack.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
continuous ^jj+atrb+++=continuous
immunosuppressive ^nn+++??+=immunosuppressive
preventive ^jj+atrb+++=preventive
treatment ^nn++++=treatment
should ^md+nec+++=should
be ^vb+be+aux++=be
maintained ^vpsv++agls+xvbnx+=maintained
in ^in++++=in
Nmosd ^np+++??+=NMOSD
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
most ^ql+emph+++=most
commonly ^rb++++=commonly
used ^vbd+++xvbn+=used
first ^od++++=first-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
therapies ^nns+++??+=therapies
for ^in++++=for
Nmosd ^np+++??+=NMOSD
are ^vb+ber+vrb++=are
azathioprine ^nn+++??+=azathioprine
and ^cc++++=and
rituximab ^nn+++??+=rituximab.
. ^zz++++=EXTRAWORD
Rituximab ^np+++??+=Rituximab
is ^vbz+bez+aux++=is
recommended ^vpsv++agls+xvbnx+=recommended
as ^ql++++=as
the ^ati++++=the
preferred ^jj+atrb++xvbn+=preferred
initial ^jj+atrb+++=initial
therapy ^nn++++=therapy
during ^in++++=during
the ^ati++++=the
pandemic ^nn++++=pandemic
for ^in++++=for
the ^ati++++=the
following ^jj+atrb+++=following
reasons ^nns++++=reasons:
: ^zz++++=EXTRAWORD
