Abiotic ^np+++??+=Abiotic
factors ^nns++++=factors
Water ^nn++++=Water
temperature ^nn++++=temperature
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
approximately ^rb+down+++=approximately
18 ^cd++++=18
C ^zz++++=C
in ^in++++=in
August ^nr++++=August
2012 ^cd++++=2012
to ^to++++=to
23 ^cd++++=23
C ^zz++++=C
in ^in++++=in
February ^nr++++=February
2013 ^cd++++=2013
across ^in+pl+++=across
all ^abn++++=all
sites ^nns++++=sites
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
ph ^nn++++=pH
values ^nns++++=values
at ^in++++=at
Cachoeira ^np+++??+=Cachoeira
do ^vb+do+aux++=do
Perequ ^np+++??+=Perequ
varied ^vbd+++xvbn+=varied
between ^in++++=between
5.58 ^cd++++=5.58
and ^cc++++=and
8.75 ^cd++++=8.75,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
at ^rb++++=at
Rio ^np+++??+=Rio
Perequ ^np+++??+=Perequ
, ^zz++++=,
ph ^nn++++=pH
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
5.26 ^cd++++=5.26
to ^to++++=to
6.64 ^cd++++=6.64.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
C ^zz++++=C
rrego ^nn+++??+=rrego,
, ^zz++++=EXTRAWORD
ph ^nn++++=pH
values ^nns++++=values
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
5.48 ^cd++++=5.48
to ^to++++=to
7.12 ^cd++++=7.12,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
Po ^np++++=Po
o ^zz++++=o
das ^&fw++++=das
Antas ^np+++??+=Antas,
, ^zz++++=EXTRAWORD
values ^nns++++=values
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
6.14 ^cd++++=6.14
to ^to++++=to
6.28 ^cd++++=6.28.
. ^zz++++=EXTRAWORD
A ^at++++=A
single ^jj+atrb+++=single
ph ^nn++++=pH
measurement ^nn++++=measurement
at ^in++++=at
Rio ^np+++??+=Rio
Cor ^np++++=Cor
de ^&fw++++=de
Ch ^nnu++++=Ch
indicated ^vbd+vprv++xvbn+=indicated
a ^at++++=a
notably ^rb++++=notably
low ^jj+atrb+++=low
value ^nn++++=value
of ^in++++=of
3.84 ^cd++++=3.84,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
conductivity ^nn++++=conductivity
of ^in++++=of
0.394 ^nn+++??+=0.394
S ^zz++++=S
cm ^nnu++++=cm
. ^zz++++=.
Dissolved ^xvbn+++xvbn+=Dissolved
oxygen ^nn++++=oxygen
concentrations ^nns++++=concentrations
were ^vbd+bed+vrb++=were
relatively ^rb++++=relatively
consistent ^jj+pred+++=consistent
among ^in++++=among
the ^ati++++=the
collection ^nn++++=collection
sites ^nns++++=sites,
, ^zz++++=EXTRAWORD
ranging ^vbg+++xvbg+=ranging
from ^in++++=from
8.75 ^cd++++=8.75
to ^to++++=to
10.01 ^cd++++=10.01
mg ^nnu++++=mg
O ^zz++++=O
at ^rb++++=at
Cachoeira ^np+++??+=Cachoeira
do ^vb+do+vrb++=do
Perequ ^np+++??+=Perequ
, ^zz++++=,
6.73 ^cd++++=6.73
to ^to++++=to
8.90 ^cd++++=8.90
mg ^nnu++++=mg
O ^zz++++=O
at ^rb++++=at
Rio ^np+++??+=Rio
Perequ ^np+++??+=Perequ
, ^zz++++=,
6.50 ^cd++++=6.50
to ^to++++=to
7.82 ^cd++++=7.82
mg ^nnu++++=mg
O ^zz++++=O
at ^rb++++=at
C ^zz++++=C
rrego ^nn+++??+=rrego,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
7.50 ^cd++++=7.50
to ^to++++=to
10.45 ^cd++++=10.45
mg ^nnu++++=mg
O ^zz++++=O
at ^rb++++=at
Po ^np++++=Po
o ^zz++++=o
das ^&fw++++=das
Antas ^np+++??+=Antas.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
one ^cd1++++=one
dissolved ^jj+atrb++xvbn+=dissolved
oxygen ^nn++++=oxygen
measurement ^nn++++=measurement
was ^vbd+bedz+aux++=was
obtained ^vpsv++agls+xvbnx+=obtained
at ^rb++++=at
Rio ^np+++??+=Rio
Cor ^np++++=Cor
de ^&fw++++=de
ch ^nn++++=Ch
, ^zz++++=,
yielding ^vbg+++xvbg+=yielding
a ^at++++=a
value ^nn++++=value
of ^in++++=of
10.17 ^cd++++=10.17
mg ^nnu++++=mg
o ^zz++++=O
