During ^in++++=During
a ^at++++=a
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
fear ^nn++++=fear
contributes ^vbz++++=contributes
to ^to++++=to
elevated ^vbi++++=elevated
levels ^nns++++=levels
of ^in++++=of
anxiety ^nn++++=anxiety
and ^cc++++=and
stress ^nn++++=stress
in ^in++++=in
healthy ^jj+atrb+++=healthy
individuals ^nns++++=individuals
and ^cc++++=and
exacerbates ^nns+++??+=exacerbates
symptoms ^nns++++=symptoms
in ^in++++=in
those ^dt+dem+++=those
with ^in++++=with
pre ^nn+++??+=pre-existing
- ^zz++++=EXTRAWORD
existing ^vbg+++xvbg+=EXTRAWORD
psychiatric ^jj+atrb+++=psychiatric
disorders ^nns++++=disorders
( ^zz++++=(15).
15 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
limited ^vpsv++agls+xvbnx+=limited
knowledge ^nn++++=knowledge
regarding ^in++++=regarding
the ^ati++++=the
specific ^jj+atrb+++=specific
impact ^nn++++=impact
of ^in++++=of
fear ^nn++++=fear
of ^in++++=of
infectious ^nns+++??+=infectious
disease ^nn++++=disease
on ^in++++=on
individuals ^nns++++=individuals'
' ^zz++++=EXTRAWORD
psychological ^jj+atrb+++=psychological
responses ^nns++++=responses.
. ^zz++++=EXTRAWORD
In ^in++++=In
China ^np++++=China,
, ^zz++++=EXTRAWORD
the ^ati++++=the
initial ^jj+atrb+++=initial
epicenter ^nn+++??+=epicenter
of ^in++++=of
the ^ati++++=the
current ^jj+atrb+++=current
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
high ^jj+atrb+++=high
rates ^nns++++=rates
of ^in++++=of
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
post ^nn++++=post-traumatic
- ^zz++++=EXTRAWORD
traumatic ^jj+atrb+++=EXTRAWORD
stress ^nn++++=stress,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
insomnia ^nn+++??+=insomnia
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
among ^in++++=among
health ^nn++++=health
professionals ^nns++++=professionals
( ^zz++++=(16,
16 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
17 ^cd++++=17)
) ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
among ^in++++=among
patients ^nns++++=patients
infected ^vbd+++xvbn+=infected
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
( ^zz++++=(18).
18 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
the ^ati++++=the
degree ^nn++++=degree
to ^to++++=to
which ^whp+who+++=which
these ^dt+dem+++=these
psychological ^jj+atrb+++=psychological
conditions ^nns++++=conditions
are ^vb+ber+vrb++=are
directly ^rb++++=directly
attributable ^jj+pred+++=attributable
to ^in++++=to
anxiety ^nn++++=anxiety
related ^vpsv++agls+xvbn+=related
to ^in++++=to
coronavirus ^nns++++=coronavirus
infection ^nn++++=infection
remains ^nns++++=remains
unclear ^nn++++=unclear.
. ^zz++++=EXTRAWORD
