The ^ati++++=The
study ^nn++++=study
did ^vbd+dod+aux++=did
not ^xnot++not++=not
recommend ^vb+vsua+++=recommend
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Ecd ^np+++??+=ECD
for ^in++++=for
excluding ^xvbg+++xvbg+=excluding
the ^ati++++=the
diagnosis ^nn++++=diagnosis
of ^in++++=of
pulmonary ^nn+++??+=pulmonary
embolism ^nn+++??+=embolism
( ^zz++++=(PE)
pe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
low ^jj+atrb+++=low
diagnostic ^nn+++??+=diagnostic
accuracy ^nn++++=accuracy.
. ^zz++++=EXTRAWORD
A ^at++++=A
negative ^jj+atrb+++=negative
D ^zz++++=D-dimer
- ^zz++++=EXTRAWORD
dimer ^nn+++??+=EXTRAWORD
( ^zz++++=(DD)
dd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
result ^nn++++=result
combined ^vbd+++xvbn+=combined
with ^in++++=with
a ^at++++=a
low ^nn++++=low
modified ^vbd+++xvbn+=modified
Wells ^np++++=Wells
score ^nn++++=score
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
sufficient ^jj++++=sufficient
to ^to+jcmp+++=to
rule ^vb++++=rule
out ^rp+pl+++=out
Pe ^np+++??+=PE.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
elevated ^vbd+++xvbn+=elevated
Dd ^np+++??+=DD
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
the ^ati++++=the
utility ^nn++++=utility
of ^in++++=of
Dd ^np+++??+=DD
as ^in++++=as
a ^at++++=a
diagnostic ^nn+++??+=diagnostic
tool ^nn++++=tool
is ^vbz+bez+aux++=is
reduced ^vpsv++agls+xvbnx+=reduced;
; ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
elevated ^j+++xvbn+=elevated
Dd ^np+++??+=DD
values ^nns++++=values
should ^md+nec+++=should
still ^rb++++=still
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbn+=taken
into ^in++++=into
consideration ^nn++++=consideration
in ^in++++=in
the ^ati++++=the
clinical ^jj+atrb+++=clinical
assessment ^nn++++=assessment.
. ^zz++++=EXTRAWORD
