Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Utilizing ^np+++??+=Utilizing
a ^at++++=a
time ^nn++++=time
series ^nn++++=series
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
data ^nns++++=data
referenced ^nn+++??+=referenced
to ^in++++=to
the ^ati++++=the
actual ^jj+atrb+++=actual
date ^nn++++=date
of ^in++++=of
death ^nn++++=death
provides ^vbz+vsua+++=provides
a ^at++++=a
more ^rbr++++=more
accurate ^jj+atrb+++=accurate
assessment ^nn++++=assessment
of ^in++++=of
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
strategies ^nns+++??+=strategies
( ^zz++++=(SDS)
sds ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
epidemic ^nn++++=epidemic
in ^in++++=in
s ^zz++++=S
o ^zz++++=o
paulo ^np++++=Paulo
state ^nn++++=State,
, ^zz++++=EXTRAWORD
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
