Regarding ^in++++=Regarding
job ^nn++++=job
satisfaction ^nn++++=satisfaction,
, ^zz++++=EXTRAWORD
all ^abn++++=all
questions ^nns++++=questions
and ^cc++++=and
items ^nns++++=items
from ^in++++=from
the ^ati++++=the
previous ^jj+atrb+++=previous
version ^nn++++=version
were ^vbd+bed+aux++=were
retained ^vpsv++agls+xvbnx+=retained,
, ^zz++++=EXTRAWORD
albeit ^cs+sub+++=albeit
with ^in++++=with
certain ^jj+atrb+++=certain
modifications ^nns++++=modifications.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
a ^at++++=a
total ^nn++++=total
of ^in++++=of
30 ^cd++++=30
items ^nns++++=items,
, ^zz++++=EXTRAWORD
organized ^j+++xvbn+=organized
into ^in++++=into
three ^cd++++=three
groups ^nns++++=groups
corresponding ^vwbg+++xvbg+=corresponding
to ^to++++=to
three ^cd++++=three
preliminary ^jj+atrb+++=preliminary
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
to ^to++++=to
assess ^vbi++++=assess
various ^jj+atrb+++=various
aspects ^nns++++=aspects
of ^in++++=of
job ^nn++++=job
satisfaction ^nn++++=satisfaction
and ^cc++++=and
were ^vbd+bed+aux++=were
evaluated ^vpsv++agls+xvbn+=evaluated
in ^in++++=in
questionnaire ^nn++++=Questionnaire
2 ^zz++++=2
of ^in++++=of
ensusalud ^np++++=ENSUSALUD
2016 ^cd++++=2016.
. ^zz++++=EXTRAWORD
