Bradford ^np++++=Bradford's
's ^$++++=EXTRAWORD
premise ^nn++++=premise
8 ^zz++++=8-9
- ^zz++++=EXTRAWORD
9 ^zz++++=EXTRAWORD
states ^nns++++=states
that ^tht+rel+++=that
scientific ^jj+atrb+++=scientific
journals ^nns++++=journals
should ^md+nec+++=should
be ^vb+be+aux++=be
arranged ^vpsv++agls+xvbnx+=arranged
in ^in++++=in
descending ^xvbg+++xvbg+=descending
order ^to++++=order
based ^vbd+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
productivity ^nn++++=productivity
of ^in++++=of
documents ^nns++++=documents
on ^in++++=on
a ^at++++=a
specific ^jj+atrb+++=specific
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
The ^ati++++=The
entire ^nn++++=entire
set ^vbd+++xvbn+=set
should ^md+nec+++=should
then ^rn+tm+++=then
be ^vb+be+aux++=be
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
a ^at++++=a
core ^nn++++=core
group ^nn++++=group
of ^in++++=of
journals ^nns++++=journals
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
most ^ql+emph+++=most
dedicated ^jj+++xvbn+=dedicated
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
several ^ap++++=several
additional ^jj+atrb+++=additional
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
zones ^nns++++=zones,
, ^zz++++=EXTRAWORD
each ^dt++++=each
containing ^jj+++xvbg+=containing
the ^ati++++=the
same ^ap++++=same
number ^nn++++=number
of ^in++++=of
documents ^nns++++=documents
as ^in++++=as
the ^ati++++=the
core ^nn++++=core.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
this ^dt+dem+++=this
premise ^nn++++=premise,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
journals ^nns++++=journals
in ^in++++=in
the ^ati++++=the
core ^nn++++=core
and ^cc++++=and
in ^in++++=in
each ^dt++++=each
successive ^jj+atrb+++=successive
zone ^nn++++=zone
will ^md+prd+++=will
follow ^vb+vprv+++=follow
the ^ati++++=the
proportion ^nn++++=proportion
1:n:n ^cd++++=1:n:n
: ^zz++++=:n
n ^zz++++=EXTRAWORD
, ^zz++++=,
and ^cc+cls+++=and
so ^ql++++=so
forth ^np++++=forth.
. ^zz++++=EXTRAWORD
