Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
exhibit ^vb++++=exhibit
a ^at++++=a
hypercoagulable ^nn+++??+=hypercoagulable
state ^nn++++=state,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
pulmonary ^nn+++??+=pulmonary
microembolism ^nn+++??+=microembolism
may ^md+pos+++=may
be ^vb+be+vrb++=be
higher ^jjr+pred+++=higher
than ^in++++=than
currently ^rb++++=currently
reported ^vbd+vpub++xvbn+=reported.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
pulmonary ^nn+++??+=pulmonary
embolism ^nn+++??+=embolism
is ^vbz+bez+vrb++=is
already ^rb++++=already
present ^jj+pred+++=present
in ^in++++=in
a ^at++++=a
significant ^jj+atrb+++=significant
proportion ^nn++++=proportion
of ^in++++=of
patients ^nns++++=patients
prior ^in+cmpx+++=prior
to ^in++++=to
hospital ^npl++++=hospital
admission ^nn++++=admission,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
observed ^nn++++=observed
reduced ^vpsv++agls+xvbn+=reduced
efficacy ^nn++++=efficacy
of ^in++++=of
thromboprophylaxis ^nns++++=thromboprophylaxis
in ^in++++=in
the ^ati++++=the
inpatient ^nn++++=inpatient
setting ^nn++++=setting.
. ^zz++++=EXTRAWORD
