Currently ^rb+cnj+++=Currently,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
established ^jj+atrb++xvbn+=established
consensus ^nn++++=consensus
regarding ^in++++=regarding
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
multiple ^jj+atrb+++=multiple
sclerosis ^nns+++??+=sclerosis
( ^zz++++=(MS)
ms ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
neuromyelitis ^nns+++??+=neuromyelitis
optica ^nn+++??+=optica
spectrum ^nn+++??+=spectrum
disorder ^nn++++=disorder
( ^zz++++=(NMOSD)
nmosd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Brazilian ^jj+atrb+++=Brazilian
Committee ^nn++++=Committee
for ^in++++=for
Treatment ^nn++++=Treatment
and ^cc++++=and
Research ^nn++++=Research
in ^in++++=in
Multiple ^jj+atrb+++=Multiple
Sclerosis ^np+++??+=Sclerosis
( ^zz++++=(BCTRIMS),
bctrims ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
Committee ^nn++++=Committee
for ^in++++=for
Treatment ^nn++++=Treatment
and ^cc++++=and
Research ^nn++++=Research
in ^in++++=in
Multiple ^jj+atrb+++=Multiple
Sclerosis ^np+++??+=Sclerosis
( ^zz++++=(LACTRIMS),
lactrims ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
European ^jj+atrb+++=European
Committee ^nn++++=Committee
for ^in++++=for
Treatment ^nn++++=Treatment
and ^cc++++=and
Research ^nn++++=Research
in ^in++++=in
Multiple ^jj+atrb+++=Multiple
Sclerosis ^np+++??+=Sclerosis
( ^zz++++=(ECTRIMS)
ectrims ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
published ^vprf+++xvbnx+=published
expert ^nn++++=expert
recommendations ^nns++++=recommendations
on ^in++++=on
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
websites ^nns+++??+=websites.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
following ^jj+atrb++xvbg+=following
sections ^nns++++=sections,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
present ^jj+atrb+++=present
management ^nn++++=management
strategies ^nns+++??+=strategies
for ^in++++=for
patients ^nns++++=patients
with ^in++++=with
demyelinating ^nn+++??+=demyelinating
disorders ^nns++++=disorders
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
implemented ^vpsv++agls+xvbnx+=implemented
at ^rb++++=at
two ^cd++++=two
major ^jj+atrb+++=major
Ms ^nn++++=MS/NMOSD
care ^nn++++=care
centers ^nns+++??+=centers
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
is ^vbz+bez+aux++=is
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
reduce ^vbi++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infection ^nn++++=infection
while ^cs+sub+++=while
maintaining ^vbg+++xvbg+=maintaining
clinical ^jj+atrb+++=clinical
stability ^nn++++=stability
and ^cc++++=and
ensuring ^vbg+vprv++xvbg+=ensuring
patient ^jj+atrb+++=patient
safety ^nn++++=safety.
. ^zz++++=EXTRAWORD
