Conidiophores ^np+++??+=Conidiophores
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
observed ^jj+++xvbn+=observed.
. ^zz++++=EXTRAWORD
Conidia ^np+++??+=Conidia
were ^vbd+bed+aux++=were
arranged ^vpsv++agls+xvbnx+=arranged
in ^in++++=in
uniseriate ^nn+++??+=uniseriate
chains ^nns++++=chains
connected ^vwbn+++xvbn+=connected
by ^in++++=by
narrow ^jj+atrb+++=narrow
isthmi ^nn+++??+=isthmi,
, ^zz++++=EXTRAWORD
fusiform ^nn+++??+=fusiform
in ^in++++=in
shape ^nn++++=shape,
, ^zz++++=EXTRAWORD
hyaline ^nn+++??+=hyaline,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
composed ^vpsv++agls+xvbn+=composed
of ^in++++=of
two ^cd++++=two
cells ^nns++++=cells,
, ^zz++++=EXTRAWORD
each ^dt++++=each
measuring ^jj+++xvbg+=measuring
10 ^cd++++=10
15.7 ^cd++++=15.7
2.1 ^cd++++=2.1
4.3 ^cd++++=4.3
m ^zz++++=m;
; ^zz++++=EXTRAWORD
the ^ati++++=the
total ^jj++++=total
length ^rb++++=length
of ^in++++=of
entire ^nn++++=entire
conidia ^vb++++=conidia
ranged ^vpsv++agls+xvbn+=ranged
from ^in++++=from
22.8 ^cd++++=22.8
to ^to++++=to
28.6 ^cd++++=28.6
m ^zz++++=m.
. ^zz++++=EXTRAWORD
