As ^in++++=As
indicated ^nn++++=indicated
in ^in++++=in
its ^pp$+it+++=its
foundational ^nn+++??+=foundational
charter ^nn++++=charter
( ^zz++++=(Carta
carta ^nn+++??+=EXTRAWORD
P ^zz++++=P
blica ^nn+++??+=blica
2015 ^cd++++=2015),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Network ^nn++++=Network
s ^zz++++=s
approach ^nn++++=approach
differs ^vbz++++=differs
significantly ^rb++++=significantly
from ^in++++=from
that ^dt+dem+++=that
of ^in++++=of
the ^ati++++=the
medical ^jj+atrb+++=medical
establishment ^nn++++=establishment
or ^cc++++=or
hegemonic ^jj+atrb++??+=hegemonic
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
proposing ^vbg+++xvbg+=proposing
alternative ^jj+atrb+++=alternative
frameworks ^nns++++=frameworks
for ^in++++=for
understanding ^xvbg+++xvbg+=understanding
abortion ^nn++++=abortion
as ^in++++=as
a ^at++++=a
health ^nn++++=health
issue ^nn++++=issue.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Network ^nn++++=Network
aims ^vb++++=aims
to ^to+vcmp+++=to
implement ^vbi++++=implement
new ^jj+atrb+++=new
practices ^nns++++=practices
with ^in++++=with
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
integrating ^xvbg+++xvbg+=integrating
them ^pp3o+pp3+++=them
into ^in++++=into
the ^ati++++=the
institutional ^jj+atrb+++=institutional
culture ^nn++++=culture
as ^ql++++=as
standard ^jj+atrb+++=standard
procedures ^nns++++=procedures.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
process ^nn++++=process
of ^in++++=of
establishing ^xvbg+++xvbg+=establishing
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
normal ^jj++++=normal
within ^in++++=within
an ^at++++=an
institution ^nn++++=institution
is ^vbz+bez+vrb++=is
complex ^jj+pred+++=complex
and ^cc++++=and
represents ^vbz++++=represents
a ^at++++=a
significant ^jj+atrb+++=significant
challenge ^nn++++=challenge
for ^in++++=for
the ^ati++++=the
Network ^nn++++=Network.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Network ^nn++++=Network
has ^vbz+hvz+aux++=has
facilitated ^vprf+++xvbnx+=facilitated
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
community ^nn++++=community
among ^in++++=among
its ^pp$+it+++=its
members ^nns++++=members,
, ^zz++++=EXTRAWORD
enabling ^vbg+++xvbg+=enabling
individuals ^nns++++=individuals
to ^to++++=to
recognize ^vbi+vprv+++=recognize
shared ^vprf+++xvbn+=shared
experiences ^nns++++=experiences
and ^cc++++=and
perspectives ^nns++++=perspectives.
. ^zz++++=EXTRAWORD
