As ^in++++=As
described ^nn++++=described
by ^in++++=by
Dong ^np+++??+=Dong
and ^cc++++=and
Bouey ^np+++??+=Bouey
( ^zz++++=(29),
29 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fear ^vb++++=fear
and ^cc++++=and
anxiety ^nn++++=anxiety
are ^vb+ber+vrb++=are
common ^jj+atrb+++=common
psychological ^jj+atrb+++=psychological
responses ^nns++++=responses
during ^in++++=during
disasters ^nns++++=disasters
and ^cc++++=and
similar ^jj+atrb+++=similar
situations ^nns++++=situations,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
increase ^vb++++=increase
the ^ati++++=the
vulnerability ^nn+++??+=vulnerability
of ^in++++=of
the ^ati++++=the
general ^jj+atrb+++=general
population ^nn++++=population
to ^in++++=to
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
mental ^jj+atrb+++=mental
disorders ^nns++++=disorders,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
anxiety ^nn++++=anxiety
disorders ^nns++++=disorders,
, ^zz++++=EXTRAWORD
during ^in++++=during
such ^abl++++=such
critical ^jj+atrb+++=critical
events ^nns++++=events.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
fifth ^nn++++=fifth
edition ^nn++++=edition
of ^in++++=of
the ^ati++++=the
Diagnostic ^np+++??+=Diagnostic
and ^cc++++=and
Statistical ^jj++++=Statistical
Manual ^jj++++=Manual
of ^in++++=of
Mental ^jj+atrb+++=Mental
Disorders ^nns++++=Disorders
( ^zz++++=(DSM-5),
dsm ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety
disorders ^nns++++=disorders
include ^vb++++=include
generalized ^jj+atrb+++=generalized
anxiety ^nn++++=anxiety
disorder ^nn++++=disorder,
, ^zz++++=EXTRAWORD
panic ^vb++++=panic
disorder ^nn++++=disorder,
, ^zz++++=EXTRAWORD
agoraphobia ^nn+++??+=agoraphobia,
, ^zz++++=EXTRAWORD
separation ^nn++++=separation
anxiety ^nn++++=anxiety
disorder ^nn++++=disorder,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
anxiety ^nn++++=anxiety
disorder ^nn++++=disorder,
, ^zz++++=EXTRAWORD
specific ^jj+atrb+++=specific
phobias ^nns++++=phobias,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
selective ^jj+atrb+++=selective
mutism ^nn++++=mutism
( ^zz++++=(30).
30 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
