Introduction ^nn++++=Introduction:
: ^zz++++=EXTRAWORD
Demonstrating ^vbg+++xvbg+=Demonstrating
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
Social ^jj+atrb+++=Social
Distancing ^np+++??+=Distancing
Strategies ^np+++??+=Strategies
( ^zz++++=(SDS)
sds ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
an ^at++++=an
important ^jj+atrb+++=important
factor ^nn++++=factor
in ^in++++=in
securing ^xvbg+++xvbg+=securing
public ^jj+atrb+++=public
support ^nn++++=support
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
State ^nn++++=State
and ^cc++++=and
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
delays ^nns++++=delays
in ^in++++=in
the ^ati++++=the
processing ^jj+++xvbg+=processing
of ^in++++=of
Pcr ^np+++??+=PCR
tests ^nns++++=tests
and ^cc++++=and
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
availability ^nn++++=availability
of ^in++++=of
testing ^xvbg+++xvbg+=testing
have ^vb+hv+aux++=have
constrained ^vprf+++xvbnx+=constrained
the ^ati++++=the
capacity ^nn++++=capacity
of ^in++++=of
health ^nn++++=health
authorities ^nns++++=authorities
to ^to++++=to
provide ^vbi+vsua+++=provide
accurate ^jj+atrb+++=accurate
and ^cc+phrs+++=and
timely ^jj+atrb+++=timely
data ^nns++++=data
regarding ^in++++=regarding
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
and ^cc++++=and
related ^xvbn+++xvbn+=related
deaths ^nns++++=deaths.
. ^zz++++=EXTRAWORD
