Based ^xvbn+++xvbn+=Based
on ^in++++=on
ethnic ^nn+++??+=ethnic
self ^nn++++=self-identification,
- ^zz++++=EXTRAWORD
identification ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
96 ^cd++++=96%
% ^zz++++=EXTRAWORD
of ^in++++=of
participants ^nns++++=participants
identified ^vwbn+++xvbn+=identified
as ^ql++++=as
mestizo ^vb+++??+=mestizo,
, ^zz++++=EXTRAWORD
2 ^zz++++=2%
% ^zz++++=EXTRAWORD
as ^ql++++=as
indigenous ^jj++++=indigenous,
, ^zz++++=EXTRAWORD
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
as ^ql++++=as
montubio ^vb++++=montubio,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
as ^ql++++=as
afro ^np++++=Afro-Ecuadorian.
- ^zz++++=EXTRAWORD
ecuadorian. ^nn++++=EXTRAWORD
