Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
Orf7a ^np+++??+=ORF7a
and ^cc++++=and
Orf3a ^np+++??+=ORF3a
proteins ^nns+++??+=proteins
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
block ^vb++++=block
G0 ^np+++??+=G0/G1
cell ^nn++++=cell
cycle ^nn++++=cycle
progression ^nn++++=progression
by ^in++++=by
reducing ^xvbg+++xvbg+=reducing
cyclin ^nn+++??+=cyclin
D3 ^np+++??+=D3
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
decreasing ^jj+atrb++xvbg+=decreasing
cyclin ^nn+++??+=cyclin
D ^zz++++=D/CDK4/6
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
inhibiting ^jj+atrb+++=inhibiting
Rb ^np+++??+=Rb
phosphorylation ^nn+++??+=phosphorylation
( ^zz++++=(Yuan
yuan ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Nsp15 ^np+++??+=Nsp15
can ^md+pos+++=can
alter ^vb++++=alter
the ^ati++++=the
subcellular ^nn+++??+=subcellular
localization ^nn++++=localization
and ^cc++++=and
function ^nn++++=function
of ^in++++=of
Rb ^np+++??+=Rb,
, ^zz++++=EXTRAWORD
promote ^vb++++=promote
prb ^nn+++??+=pRb
ubiquitination ^nn+++??+=ubiquitination
and ^cc++++=and
degradation ^nn++++=degradation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increase ^nn++++=increase
the ^ati++++=the
proportion ^nn++++=proportion
of ^in++++=of
cells ^nns++++=cells
in ^in++++=in
S ^zz++++=S-phase.
- ^zz++++=EXTRAWORD
phase ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
overexpression ^nn+++??+=overexpression
of ^in++++=of
the ^ati++++=the
Orf4 ^np+++??+=ORF4
( ^zz++++=(3b)
3b ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
protein ^nn++++=protein
induces ^vbz++++=induces
cell ^nn++++=cell
cycle ^nn++++=cycle
arrest ^nn++++=arrest
at ^rb++++=at
G0 ^np+++??+=G0/G1
and ^cc++++=and
promotes ^vbz++++=promotes
apoptosis ^nns+++??+=apoptosis
( ^zz++++=(Yuan
yuan ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
bhardwaj ^np++++=Bhardwaj
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
