Several ^ap++++=Several
studies7,22 ^nn+++??+=studies7,22-24
- ^zz++++=EXTRAWORD
24 ^cd++++=EXTRAWORD
that ^dt+pdem+++=that
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
temporal ^jj+atrb+++=temporal
trends ^nns++++=trends
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis
incidence ^nn++++=incidence
in ^in++++=in
relation ^nn++++=relation
to ^in++++=to
rainfall ^nn++++=rainfall
rates ^nns++++=rates
support ^vb++++=support
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
research ^nn++++=research.
. ^zz++++=EXTRAWORD
Guimar ^np+++??+=Guimar
es ^&fw++++=es
et ^&fw++++=et
al.7 ^nn+++??+=al.7
not ^xnot++not++=not
only ^ap+down+++=only
confirmed ^jj+++xvbn+=confirmed
the ^ati++++=the
association ^nn++++=association
between ^in++++=between
rainfall ^nn++++=rainfall
and ^cc++++=and
leptospirosis ^nns+++??+=leptospirosis
but ^cc++++=but
also ^rb++++=also
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
relative ^nn++++=relative
risk ^vb++++=risk
of ^in++++=of
disease ^nn++++=disease
occurrence ^nn++++=occurrence
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
highest ^jjt+atrb+++=highest
rainfall ^nn++++=rainfall
( ^zz++++=(November
november ^nr++++=EXTRAWORD
to ^in++++=to
March ^nr++++=March)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
more ^ql++++=more
than ^cs+sub+++=than
twice ^rb++++=twice
as ^in++++=as
high ^jj++++=high
( ^zz++++=(RR
rr ^nn+++??+=EXTRAWORD
> ^zz++++=>
2.0 ^cd++++=2.0;
; ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
0.01 ^nn+++??+=0.01)
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
month ^nn++++=month
with ^in++++=with
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
rainfall ^nn++++=rainfall
( ^zz++++=(August),
august ^nr++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
potential ^jj+atrb+++=potential
causal ^jj+atrb+++=causal
relationship ^nn++++=relationship
based ^vwbn+++xvbn+=based
on ^in++++=on
incidence ^nn++++=incidence
comparisons ^nns++++=comparisons
between ^in++++=between
these ^dt+dem+++=these
periods ^nns++++=periods.
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
these ^dt+dem+++=these
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
observed ^vbd+vprv++xvbn+=observed
a ^at++++=a
relative ^jj+atrb+++=relative
risk ^nn++++=risk
greater ^jjr++++=greater
than ^in++++=than
three ^cd++++=three
( ^zz++++=(RR
rr ^nn+++??+=EXTRAWORD
> ^zz++++=>
3.0 ^cd++++=3.0;
; ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
0.01 ^nn+++??+=0.01)
) ^zz++++=EXTRAWORD
for ^in++++=for
leptospirosis ^nns+++??+=leptospirosis
incidence ^nn++++=incidence
when ^wrb+who+++=when
comparing ^vbg+++xvbg+=comparing
the ^ati++++=the
period ^nn++++=period
from ^in++++=from
december ^nr++++=December
to ^in++++=to
march ^nr++++=March
with ^in++++=with
the ^ati++++=the
month ^nn++++=month
of ^in++++=of
august ^nr++++=August.
. ^zz++++=EXTRAWORD
