Studies ^nns++++=Studies
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
maintaining ^vbg+++xvbg+=maintaining
an ^at++++=an
adequate ^jj+atrb+++=adequate
nutritional ^jj+atrb+++=nutritional
status ^nn++++=status
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
the ^ati++++=the
preservation ^nn++++=preservation
of ^in++++=of
immune ^jj+atrb+++=immune
function ^nn++++=function
[ ^zz++++=[26
26 ^cd++++=EXTRAWORD
28 ^cd++++=28].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
International ^jj+atrb+++=International
Society ^nn++++=Society
for ^in++++=for
Immunonutrition ^np+++??+=Immunonutrition
emphasizes ^vbz+vpub+++=emphasizes
the ^ati++++=the
importance ^nn++++=importance
of ^in++++=of
consuming ^xvbg+++xvbg+=consuming
a ^at++++=a
diversified ^jj+atrb++xvbn+=diversified
and ^cc+phrs+++=and
balanced ^jj+atrb++xvbn+=balanced
diet ^nn++++=diet
rich ^jj++++=rich
in ^in++++=in
antioxidant ^nn+++??+=antioxidant
nutrients ^nns++++=nutrients
to ^to++++=to
support ^vbi++++=support
healthy ^jj+atrb+++=healthy
eating ^nn++++=eating
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
during ^in++++=during
pandemics ^nns++++=pandemics
[ ^zz++++=[29].
29 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
