Sampling ^nn++++=Sampling
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
the ^ati++++=the
State ^nn++++=State
Park ^npl++++=Park
of ^in++++=of
Ilha ^np+++??+=Ilha
do ^vb+do+vrb++=do
Cardoso ^np+++??+=Cardoso
( ^zz++++=(PEIC),
peic ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
situated ^vpsv++agls+xvbnx+=situated
on ^in++++=on
Ilha ^np+++??+=Ilha
do ^vb+do+vrb++=do
Cardoso ^np+++??+=Cardoso,
, ^zz++++=EXTRAWORD
located ^xvbn+++xvbn+=located
on ^in++++=on
the ^ati++++=the
southeastern ^nn+++??+=southeastern
coast ^nn++++=coast
of ^in++++=of
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
State ^nn++++=State,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
( ^zz++++=(25
25 ^cd++++=EXTRAWORD
03 ^nn+++??+=03'05"
'05" ^nn+++??+=EXTRAWORD
25 ^cd++++=25
18'18"s ^cd++++=18'18"S
and ^cc++++=and
47 ^cd++++=47
53'48 ^cd++++=53'48"
" ^zz++++=EXTRAWORD
48 ^cd++++=48
05 ^nn+++??+=05'42"W).
'42"w). ^nn+++??+=EXTRAWORD
The ^ati++++=The
park ^nn++++=park
encompasses ^vbz++++=encompasses
a ^at++++=a
total ^jj+atrb+++=total
area ^nn++++=area
of ^in++++=of
22,500 ^cd++++=22,500
hectares ^nns+++??+=hectares
and ^cc++++=and
contains ^vbz++++=contains
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
environments ^nns++++=environments,
, ^zz++++=EXTRAWORD
including ^in++++=including
primary ^jj+atrb+++=primary
and ^cc+phrs+++=and
secondary ^jj+atrb+++=secondary
Atlantic ^np++++=Atlantic
rainforest ^nn+++??+=rainforest,
, ^zz++++=EXTRAWORD
dunes ^nns++++=dunes,
, ^zz++++=EXTRAWORD
mangroves ^nns+++??+=mangroves,
, ^zz++++=EXTRAWORD
sandbank ^nn++++=sandbank
formations ^nns++++=formations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
major ^jj+atrb+++=major
watercourse ^nn+++??+=watercourse,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Perequ ^np+++??+=Perequ
River ^nn++++=River,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
traverses ^vbz++++=traverses
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
island ^nn++++=island.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
area ^nn++++=area
features ^nns++++=features
numerous ^jj+atrb+++=numerous
small ^jj+atrb+++=small
ponds ^nns++++=ponds,
, ^zz++++=EXTRAWORD
tributaries ^nns++++=tributaries,
, ^zz++++=EXTRAWORD
river ^nn++++=river
rapids ^nns+++??+=rapids,
, ^zz++++=EXTRAWORD
waterfalls ^nns++++=waterfalls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brooks ^np++++=brooks
( ^zz++++=(Secretaria
secretaria ^nn++++=EXTRAWORD
de ^&fw++++=de
estado ^np++++=Estado
do ^vb+do+vrb++=do
meio ^np++++=Meio
ambiente ^np++++=Ambiente,
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
