Despite ^in++++=Despite
these ^dt+dem+++=these
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
the ^ati++++=the
temporal ^jj+atrb+++=temporal
correlation ^nn++++=correlation
was ^vbd+bedz+vrb++=was
more ^ql++++=more
pronounced ^jj+++xvbn+=pronounced
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
municipal ^jj+atrb+++=municipal
level ^nn++++=level
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
association ^nn++++=association
between ^in++++=between
the ^ati++++=the
elapsed ^vwbn+++xvbn+=elapsed
time ^nn++++=time
since ^cs+sub+++=since
the ^ati++++=the
first ^od++++=first
notified ^vwbn+++xvbn+=notified
case ^nn++++=case
and ^cc++++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
rapid ^jj+atrb+++=rapid
tests ^nns++++=tests
yielded ^vbd+++xvbn+=yielded
a ^at++++=a
correlation ^nn++++=correlation
coefficient ^nn++++=coefficient
of ^in++++=of
- ^zz++++=-0.11.
0.11 ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
correlation ^nn++++=correlation
coefficient ^nn++++=coefficient
between ^in++++=between
the ^ati++++=the
elapsed ^vwbn+++xvbn+=elapsed
time ^nn++++=time
and ^cc++++=and
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
tests ^nns++++=tests
was ^vbd+bedz+vrb++=was
- ^zz++++=-0.22.
0.22 ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
association ^nn++++=association
between ^in++++=between
the ^ati++++=the
elapsed ^vwbn+++xvbn+=elapsed
time ^nn++++=time
and ^cc++++=and
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
coefficient ^nn++++=coefficient
was ^vbd+bedz+vrb++=was
- ^zz++++=-0.25,
0.25 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
the ^ati++++=the
association ^nn++++=association
with ^in++++=with
the ^ati++++=the
mortality ^nn++++=mortality
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
coefficient ^nn++++=coefficient
was ^vbd+bedz+vrb++=was
- ^zz++++=-0.19.
0.19 ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
