Regarding ^in++++=Regarding
gender ^nn++++=gender
distribution ^nn++++=distribution,
, ^zz++++=EXTRAWORD
women ^nns++++=women
constitute ^vb++++=constitute
63 ^cd++++=63%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
men ^nns++++=men
represent ^vb++++=represent
37 ^cd++++=37%.
% ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Analysis ^nn++++=Analysis
of ^in++++=of
age ^nn++++=age
groups ^nns++++=groups
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
slightly ^rb+down+++=slightly
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one-quarter
- ^zz++++=EXTRAWORD
quarter ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
students ^nns++++=students
are ^vb+ber+vrb++=are
older ^jjr+pred+++=older
than ^in++++=than
the ^ati++++=the
typical ^jj+atrb+++=typical
age ^nn++++=age
range ^nn++++=range
for ^in++++=for
university ^nn++++=university
students ^nns++++=students
in ^in++++=in
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
academic ^jj+atrb+++=academic
cycles ^nns++++=cycles.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
71 ^cd++++=71%
% ^zz++++=EXTRAWORD
of ^in++++=of
students ^nns++++=students
are ^vb+ber+vrb++=are
between ^in++++=between
18 ^cd++++=18
and ^cc++++=and
22 ^cd++++=22
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
22 ^cd++++=22%
% ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
between ^in++++=between
23 ^cd++++=23
and ^cc++++=and
27 ^cd++++=27
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
between ^in++++=between
28 ^cd++++=28
and ^cc++++=and
32 ^cd++++=32
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
1.4 ^cd++++=1.4%
% ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
between ^in++++=between
33 ^cd++++=33
and ^cc++++=and
47 ^cd++++=47
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
1 ^zz++++=1%
% ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
older ^jjr+pred+++=older
than ^in++++=than
38 ^cd++++=38
years ^nns++++=years.
. ^zz++++=EXTRAWORD
