All ^abn++++=All
studies ^nns++++=studies
included ^vbd+++xvbn+=included
in ^in++++=in
this ^dt+dem+++=this
review ^nn++++=review
that ^tht+rel+subj++=that
evaluated ^vbd+++xvbn+=evaluated
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
vitamin ^nn++++=vitamin
D ^zz++++=D,
, ^zz++++=EXTRAWORD
irrespective ^in++++=irrespective
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
hospitalized ^nn+++??+=hospitalized
patient ^nn++++=patient
populations ^nns++++=populations.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
children ^nns++++=children,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
vitamin ^nn++++=vitamin
D ^zz++++=D
deficiency ^nn++++=deficiency
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
12 ^cd++++=12%
% ^zz++++=EXTRAWORD
to ^to++++=to
85 ^cd++++=85%
% ^zz++++=EXTRAWORD
[ ^zz++++=[17,21]
17,21 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
was ^vbd+bedz+aux++=was
significantly ^rb++splt++=significantly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
severe ^jj+atrb+++=severe
respiratory ^jj+atrb+++=respiratory
distress ^nn++++=distress
( ^zz++++=(OR:
or ^cc++++=EXTRAWORD
: ^zz++++=EXTRAWORD
5.065 ^cd++++=5.065;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
1.998 ^cd++++=1.998
12.842 ^cd++++=12.842;
; ^zz++++=EXTRAWORD
p<0.001 ^nn+++??+=p<0.001)
) ^zz++++=EXTRAWORD
[ ^zz++++=[17].
17 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
with ^in++++=with
serum ^nn++++=serum
vitamin ^nn++++=vitamin
D ^zz++++=D
levels ^nns++++=levels
below ^in+pl+++=below
20 ^cd++++=20
ng ^nn+++??+=ng/mL
had ^vb+hv+vrb++=had
a ^at++++=a
117 ^cd++++=117%
% ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
likelihood ^nn++++=likelihood
of ^in++++=of
requiring ^xvbg+++xvbg+=requiring
oxygen ^nn++++=oxygen
support ^nn++++=support
and ^cc++++=and
a ^at++++=a
217 ^cd++++=217%
% ^zz++++=EXTRAWORD
higher ^jjr+atrb+++=higher
likelihood ^nn++++=likelihood
of ^in++++=of
needing ^xvbg+++xvbg+=needing
respiratory ^jj+atrb+++=respiratory
support ^nn++++=support
[ ^zz++++=[17].
17 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Hurwitz ^np+++??+=Hurwitz
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
[ ^zz++++=[21]
21 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
