All ^abn++++=All
options ^nns+++??+=options,
, ^zz++++=EXTRAWORD
except ^in++++=except
Option ^nn++++=Option
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
account ^nn++++=account
for ^in++++=for
the ^ati++++=the
requirement ^nn++++=requirement
that ^tht+ncmp+++=that
return ^vb++++=return
air ^nn++++=air
should ^md+nec+++=should
be ^vb+be+aux++=be
covered ^vpsv++agls+xvbnx+=covered
and ^cc+phrs+++=and
specify ^vb+vsua+++=specify
a ^at++++=a
distance ^nn++++=distance
of ^in++++=of
8 ^zz++++=8
meters ^nns++++=meters
from ^in++++=from
the ^ati++++=the
final ^jj+atrb+++=final
discharge ^nn++++=discharge
point ^nn++++=point
to ^to++++=to
the ^ati++++=the
building ^nn++++=building
entry ^nn++++=entry
point ^nn++++=point.
. ^zz++++=EXTRAWORD
