A ^at++++=A
total ^nn++++=total
of ^in++++=of
2,137 ^cd++++=2,137
participants ^nns++++=participants
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
study ^nn++++=study.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn++++=majority
were ^vbd+bed+vrb++=were
men ^nns++++=men
( ^zz++++=(69.0%)
69.0 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
most ^ql+emph+++=most
were ^vbd+bed+aux++=were
living ^vbg+++xvbgx+=living
with ^in+ppvb+++=with
a ^at++++=a
partner ^nn++++=partner,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
married ^jj+++xvbn+=married
or ^cc++++=or
cohabiting ^nn+++??+=cohabiting.
. ^zz++++=EXTRAWORD
More ^ql++++=More
than ^cs+sub+++=than
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
participants ^nns++++=participants
had ^vb+hv+vrb++=had
a ^at++++=a
medical ^jj+atrb+++=medical
specialty ^nn+++??+=specialty.
. ^zz++++=EXTRAWORD
Sixty ^cd++++=Sixty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
percent ^nnu++++=percent
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
monthly ^jj+atrb+++=monthly
income ^nn++++=income
between ^in++++=between
four ^cd++++=four
and ^cc++++=and
ten ^cd++++=ten
minimum ^jj+atrb+++=minimum
wages ^nns++++=wages
( ^zz++++=(equivalent
equivalent ^jj++++=EXTRAWORD
to ^to++++=to
$ ^zz++++=$890
890 ^cd++++=EXTRAWORD
to ^to++++=to
$ ^zz++++=$2,225).
2,225 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
25 ^cd++++=25%
% ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
having ^vbg+hvg++xvbg+=having
a ^at++++=a
work ^nn++++=work-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
illness ^nn++++=illness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
33 ^cd++++=33%
% ^zz++++=EXTRAWORD
self ^nn++++=self-reported
- ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=EXTRAWORD
a ^at++++=a
chronic ^jj+atrb+++=chronic
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mean ^jj+atrb+++=mean
age ^nn++++=age
of ^in++++=of
participants ^nns++++=participants
was ^vbd+bedz+vrb++=was
44.7 ^cd++++=44.7
years ^nns++++=years
( ^zz++++=(SD
sd ^nn++++=EXTRAWORD
= ^zz++++==
10.8 ^cd++++=10.8),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
average ^jj+atrb+++=average
duration ^nn++++=duration
of ^in++++=of
employment ^nn++++=employment
within ^in++++=within
the ^ati++++=the
organization ^nn++++=organization
was ^vbd+bedz+vrb++=was
9.4 ^cd++++=9.4
years ^nns++++=years
( ^zz++++=(SD
sd ^nn++++=EXTRAWORD
= ^zz++++==
9.2 ^cd++++=9.2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
detailed ^jj+atrb+++=detailed
sociodemographic ^nn+++??+=sociodemographic
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
physicians ^nns++++=physicians
are ^vb+ber+aux++=are
presented ^vbd+++xvbn+=presented
in ^in++++=in
table ^nn++++=Table
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
