Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
seasonal ^jj+atrb+++=seasonal
variation ^nn++++=variation
in ^in++++=in
leptospirosis ^nns+++??+=leptospirosis
cases ^nns++++=cases
and ^cc++++=and
rainfall ^nn++++=rainfall
indices ^nns++++=indices
in ^in++++=in
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
from ^in++++=from
2005 ^cd++++=2005
to ^to++++=to
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
stratified ^jj++++=stratified
by ^in++++=by
the ^ati++++=the
16 ^cd++++=16
Health ^nn++++=Health
Regions ^nns++++=Regions.
. ^zz++++=EXTRAWORD
During ^in++++=During
this ^dt+dem+++=this
period ^nn++++=period,
, ^zz++++=EXTRAWORD
the ^ati++++=the
average ^jj+atrb+++=average
number ^nn++++=number
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis
cases ^nns++++=cases
per ^in++++=per
Health ^nn++++=Health
Region ^nn++++=Region
was ^vbd+bedz+vrb++=was
329 ^cd++++=329,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
minimum ^nn++++=minimum
of ^in++++=of
24 ^cd++++=24
cases ^nns++++=cases
in ^in++++=in
Serra ^np+++??+=Serra
Catarinense ^np+++??+=Catarinense
and ^cc++++=and
a ^at++++=a
maximum ^nn++++=maximum
of ^in++++=of
1,458 ^cd++++=1,458
cases ^nns++++=cases
in ^in++++=in
the ^ati++++=the
Northeast ^np+++??+=Northeast
region ^nn++++=region.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
regions ^nns++++=regions
Foz ^np+++??+=Foz
do ^vb+do+vrb++=do
Rio ^np+++??+=Rio
Itaja ^np+++??+=Itaja
, ^zz++++=,
M ^zz++++=M
dio ^nn+++??+=dio
Vale ^npl++++=Vale
do ^vb+do+vrb++=do
Itaja ^np+++??+=Itaja
, ^zz++++=,
Grande ^&fw++++=Grande
Florian ^np+++??+=Florian
polis ^nns+++??+=polis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Northeast ^np+++??+=Northeast
accounted ^vbd+++xvbn+=accounted
for ^in+ppvb+++=for
3,789 ^cd++++=3,789
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
71.8 ^cd++++=71.8%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^nn++++=total,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
Northeast ^np+++??+=Northeast
region ^nn++++=region
alone ^rb++++=alone
contributing ^vbg+++xvbg+=contributing
1,458 ^cd++++=1,458
cases ^nns++++=cases
