Coronaviruses ^np+++??+=Coronaviruses
( ^zz++++=(CoV)
cov ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
a ^at++++=a
group ^nn++++=group
of ^in++++=of
viruses ^nns++++=viruses
characterized ^nn+++??+=characterized
by ^in++++=by
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
ribonucleic ^nn+++??+=ribonucleic
acid ^nn++++=acid
( ^zz++++=(RNA)
rna ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^ql++++=as
their ^pp$+pp3+++=their
genetic ^jj+atrb+++=genetic
material ^nn++++=material
[ ^zz++++=[1].
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
viruses ^nns++++=viruses
primarily ^rb+down+++=primarily
infect ^vb++++=infect
epithelial ^jj+atrb++??+=epithelial
cells ^nns++++=cells
in ^in++++=in
the ^ati++++=the
respiratory ^jj++++=respiratory
and ^cc++++=and
gastrointestinal ^nn+++??+=gastrointestinal
tracts ^nns++++=tracts,
, ^zz++++=EXTRAWORD
enabling ^vbg+++xvbg+=enabling
transmission ^nn++++=transmission
through ^in++++=through
various ^jj+atrb+++=various
routes ^nns++++=routes,
, ^zz++++=EXTRAWORD
including ^in++++=including
fomites ^nns+++??+=fomites,
, ^zz++++=EXTRAWORD
airborne ^jj+atrb+++=airborne
particles ^nns++++=particles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
faecal ^jj++++=faecal-oral
- ^zz++++=EXTRAWORD
oral ^jj+atrb+++=EXTRAWORD
pathway ^nn++++=pathway
[ ^zz++++=[2].
2 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
early ^jj+atrb+++=early
January ^nr++++=January
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Chinese ^jj+atrb+++=Chinese
Center ^np+++??+=Center
for ^in++++=for
Disease ^nn++++=Disease
Control ^nn++++=Control
and ^cc++++=and
Prevention ^nn++++=Prevention
identified ^vwbn+++xvbn+=identified
a ^at++++=a
novel ^nn++++=novel
coronavirus ^nns+++??+=coronavirus,
, ^zz++++=EXTRAWORD
designated ^j+++xvbn+=designated
as ^ql++++=as
Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
causative ^nn+++??+=causative
agent ^nn++++=agent
of ^in++++=of
a ^at++++=a
newly ^rb++++=newly
recognized ^jj+atrb++xvbn+=recognized
human ^jj+atrb+++=human
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
[ ^zz++++=[3].
3 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
late ^jj+atrb+++=late
January ^nr++++=January
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
declared ^vbd+vpub++xvbn+=declared
a ^at++++=a
public ^jj+atrb+++=public
health ^nn++++=health
emergency ^nn++++=emergency
of ^in++++=of
international ^jj+atrb+++=international
concern ^nn++++=concern,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
the ^ati++++=the
declaration ^nn++++=declaration
of ^in++++=of
a ^at++++=a
global ^jj+atrb+++=global
pandemic ^nn+++??+=pandemic
in ^in++++=in
March ^nn++++=March
2020 ^cd++++=2020
[ ^zz++++=[4].
4 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
of ^in++++=of
4 ^zz++++=4
June ^nr++++=June
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
had ^vbd+hvd+aux++=had
affected ^vprf+++xvbnx+=affected
213 ^cd++++=213
countries ^nns++++=countries
and ^cc++++=and
territories ^nns++++=territories,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
over ^in++++=over
6 ^zz++++=6
million ^cd++++=million
confirmed ^vbn+vpub+++=confirmed
cases ^nns++++=cases
and ^cc++++=and
nearly ^rb+down+++=nearly
400,000 ^cd++++=400,000
deaths ^nns++++=deaths
worldwide ^nn++++=worldwide
[ ^zz++++=[5].
5 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
