Conidiophores ^np+++??+=Conidiophores
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
observed ^jj+++xvbn+=observed.
. ^zz++++=EXTRAWORD
Conidia ^np+++??+=Conidia
are ^vb+ber+vrb++=are
hyaline ^nn+++??+=hyaline,
, ^zz++++=EXTRAWORD
spindle ^nn++++=spindle-shaped,
- ^zz++++=EXTRAWORD
shaped ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
measuring ^vbg+++xvbg+=measuring
42.5 ^cd++++=42.5
62.5 ^cd++++=62.5
m ^zz++++=m
in ^in++++=in
length ^nn++++=length
and ^cc++++=and
10 ^cd++++=10
12.5 ^cd++++=12.5
m ^zz++++=m
in ^in++++=in
width ^nn++++=width,
, ^zz++++=EXTRAWORD
with ^in++++=with
1 ^zz++++=1
3 ^zz++++=3
septa ^nn+++??+=septa.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
conidium ^nn+++??+=conidium
produces ^vbz++++=produces
1 ^zz++++=1
2 ^zz++++=2
lateral ^jj+atrb+++=lateral
appendages ^nns+++??+=appendages
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
hyaline ^nn+++??+=hyaline,
, ^zz++++=EXTRAWORD
exceeding ^vbg+++xvbg+=exceeding
87.5 ^cd++++=87.5
m ^zz++++=m
in ^in++++=in
length ^nn++++=length
and ^cc++++=and
2 ^zz++++=2
2.5 ^cd++++=2.5
m ^zz++++=m
in ^in++++=in
width ^nn++++=width.
. ^zz++++=EXTRAWORD
