According ^in+cmpx+++=According
to ^in++++=to
Ryan ^np+++??+=Ryan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
[ ^zz++++=[26],
26 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
lamps ^nns++++=lamps
utilizing ^nn+++??+=utilizing
germicidal ^nn+++??+=germicidal
ultraviolet ^nn+++??+=ultraviolet
irradiation ^nn++++=irradiation
( ^zz++++=(eUVGI)
euvgi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
reduced ^vbd+++xvbn+=reduced
microbial ^nn+++??+=microbial
proliferation ^nn++++=proliferation
in ^in++++=in
Hvac ^np+++??+=HVAC
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
neonatal ^nn+++??+=neonatal
intensive ^jj+atrb+++=intensive
care ^nn++++=care
units ^nns++++=units
and ^cc++++=and
within ^in++++=within
the ^ati++++=the
ventilation ^nn++++=ventilation
systems ^nns++++=systems
of ^in++++=of
air ^nn++++=air
conditioning ^nn++++=conditioning
units ^nns++++=units.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicated ^vbd+vprv++xvbn+=indicated
a ^at++++=a
reduction ^nn++++=reduction
in ^in++++=in
microbial ^nn+++??+=microbial
colonization ^nn++++=colonization
of ^in++++=of
the ^ati++++=the
trachea ^nn+++??+=trachea
among ^in++++=among
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
a ^at++++=a
decrease ^nn++++=decrease
in ^in++++=in
antibiotic ^nn+++??+=antibiotic
usage ^nn++++=usage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
included ^vbd+++xvbn+=included
the ^ati++++=the
assessment ^nn++++=assessment
of ^in++++=of
various ^jj+atrb+++=various
bacteria ^nns++++=bacteria
and ^cc++++=and
fungi ^nns++++=fungi
present ^nn++++=present
in ^in++++=in
the ^ati++++=the
Hvac ^np+++??+=HVAC
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
the ^ati++++=the
intensive ^jj+atrb+++=intensive
care ^nn++++=care
unit ^nn++++=unit
environment ^nn++++=environment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
among ^in++++=among
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
providing ^vbg+++xvbg+=providing
further ^jjb+atrb+++=further
evidence ^nn++++=evidence
for ^in++++=for
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
uv ^np++++=UV
radiation ^nn++++=radiation
in ^in++++=in
reducing ^vbg+++xvbg+=reducing
microbial ^nn++++=microbial
contamination ^nn++++=contamination.
. ^zz++++=EXTRAWORD
