Brazil ^np++++=Brazil
implements ^nns++++=implements
the ^ati++++=the
National ^jj+atrb+++=National
School ^nn++++=School
Feeding ^vwbg+++xvbg+=Feeding
Program ^np+++??+=Program
( ^zz++++=(PNAE),
pnae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
social ^jj+atrb+++=social
initiative ^nn++++=initiative
established ^vbd+++xvbn+=established
in ^in++++=in
1955 ^cd+date+++=1955
and ^cc++++=and
administered ^vpsv++by+xvbn+=administered
by ^in++++=by
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Education ^nn++++=Education,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
aims ^vb++++=aims
to ^to+vcmp+++=to
provide ^vbi+vsua+tht0++=provide
students ^nns++++=students
enrolled ^vbd+++xvbn+=enrolled
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools
and ^cc++++=and
philanthropic ^jj+atrb+++=philanthropic
institutions ^nns++++=institutions
with ^in++++=with
adequate ^jj++++=adequate
and ^cc++++=and
nutritious ^nns+++??+=nutritious
meals ^nns++++=meals.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition
to ^in++++=to
this ^dt+dem+++=this
program ^nn+++??+=program,
, ^zz++++=EXTRAWORD
other ^ap++++=other
strategies ^nns+++??+=strategies
to ^to++++=to
improve ^vbi++++=improve
nutrition ^nn++++=nutrition
among ^in++++=among
children ^nns++++=children
and ^cc++++=and
adolescents ^nns++++=adolescents
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
developed ^vpsv++agls+xvbnx+=developed,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
production ^nn++++=production
of ^in++++=of
micronutrient ^nn+++??+=micronutrient-fortified
- ^zz++++=EXTRAWORD
fortified ^xvbn+++xvbn+=EXTRAWORD
cookies ^nns+++??+=cookies
in ^in++++=in
Vietnam ^np++++=Vietnam,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
research ^nn++++=research,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
contributed ^vprf+++xvbnx+=contributed
to ^in++++=to
a ^at++++=a
reduction ^nn++++=reduction
in ^in++++=in
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
anemia ^nn+++??+=anemia
and ^cc++++=and
an ^at++++=an
improvement ^nn++++=improvement
in ^in++++=in
iron ^nn++++=iron
intake ^nn++++=intake
status ^nn++++=status
[ ^zz++++=[15].
15 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
