Adopting ^vbg+++xvbg+=Adopting
a ^at++++=a
bioecological ^nn+++??+=bioecological
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
previous ^jj+atrb+++=previous
research ^nn++++=research
on ^in++++=on
pandemics ^nns+++??+=pandemics
has ^vbz+hvz+aux++=has
identified ^vprf+++xvbnx+=identified
a ^at++++=a
substantial ^jj+atrb+++=substantial
and ^cc+phrs+++=and
diverse ^jj+atrb+++=diverse
array ^nn++++=array
of ^in++++=of
psychosocial ^jj+atrb+++=psychosocial
impacts ^nns+++??+=impacts
on ^in++++=on
individuals ^nns++++=individuals
during ^in++++=during
infectious ^nns+++??+=infectious
disease ^nn++++=disease
outbreaks ^nns++++=outbreaks.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
micro ^nn+++??+=micro
level ^nn++++=level,
, ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
experience ^vb++++=experience
fear ^nn++++=fear
of ^in++++=of
illness ^nn++++=illness
or ^cc++++=or
death ^nn++++=death,
, ^zz++++=EXTRAWORD
feelings ^nns++++=feelings
of ^in++++=of
helplessness ^nn++++=helplessness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
stigma ^nn++++=stigma
( ^zz++++=(Wang
wang ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
concerns ^vbz++++=concerns
regarding ^in++++=regarding
health ^nn++++=health
threats ^nns++++=threats
to ^to+ncmp+++=to
themselves ^ppls+pp3+++=themselves
and ^cc++++=and
their ^pp$+pp3+++=their
loved ^vprf+++xvbn+=loved
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
experiencing ^xvbg+++xvbg+=experiencing
mood ^nn++++=mood
disturbances ^nns++++=disturbances,
, ^zz++++=EXTRAWORD
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
irritability ^nn++++=irritability,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
fear ^vb++++=fear,
, ^zz++++=EXTRAWORD
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
insomnia ^nn+++??+=insomnia,
, ^zz++++=EXTRAWORD
changes ^nns++++=changes
in ^in++++=in
appetite ^nn++++=appetite,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
alterations ^nns++++=alterations
in ^in++++=in
subjective ^jj++++=subjective
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vb+be+vrb++=EXTRAWORD
( ^zz++++=(Abad
abad ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
