A ^at++++=A
clear ^jj+atrb+++=clear
distinction ^nn++++=distinction
should ^md+nec+++=should
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
between ^in++++=between
two ^cd++++=two
types ^nns++++=types
of ^in++++=of
self ^nn++++=self-citation:
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
individual ^jj++++=individual
( ^zz++++=(author)
author ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
and ^cc++++=and
collective ^jj++++=collective
( ^zz++++=(journal)
journal ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
self ^nn++++=self-citation,
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
both ^abx++++=both
can ^md+pos+++=can
influence ^vb++++=influence
bibliometric ^nn+++??+=bibliometric
indicators ^nns++++=indicators.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
numerous ^jj+atrb+++=numerous
legitimate ^jj+atrb+++=legitimate
reasons ^nns++++=reasons
for ^in++++=for
researchers ^nns+++??+=researchers
to ^in++++=to
cite ^np++++=cite
their ^pp$+pp3+++=their
previous ^jj+atrb+++=previous
work ^nn++++=work;
; ^zz++++=EXTRAWORD
in ^in++++=in
many ^ap++++=many
instances ^nns++++=instances,
, ^zz++++=EXTRAWORD
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
is ^vbz+bez+vrb++=is
unavoidable ^jj++++=unavoidable
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
specificity ^nn++++=specificity
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
topic ^nn++++=topic
or ^cc++++=or
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
contributors ^nns++++=contributors
in ^in++++=in
a ^at++++=a
specialized ^jj+atrb++xvbn+=specialized
field ^nn++++=field
( ^zz++++=(Gl
gl ^nn+++??+=EXTRAWORD
nzel ^nn+++??+=nzel
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
an ^at++++=an
author ^nn++++=author
may ^md+pos+++=may
be ^vb+be+vrb++=be
the ^ati++++=the
primary ^jj+atrb+++=primary
authority ^nn++++=authority
on ^in++++=on
a ^at++++=a
particular ^jj+atrb+++=particular
taxon ^nn+++??+=taxon
over ^in++++=over
several ^ap++++=several
decades ^nns++++=decades
or ^cc++++=or
may ^md+pos+++=may
have ^vb+hv+vrb++=have
a ^at++++=a
substantial ^jj+atrb+++=substantial
publication ^nn++++=publication
record ^nn++++=record
in ^in++++=in
a ^at++++=a
niche ^nn++++=niche
area ^nn++++=area.
. ^zz++++=EXTRAWORD
In ^in++++=In
such ^abl++++=such
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
inherently ^rb++++=inherently
indicate ^vb+vprv+++=indicate
misconduct ^nn++++=misconduct.
. ^zz++++=EXTRAWORD
Concerns ^nns++++=Concerns
regarding ^in++++=regarding
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
typically ^rb++++=typically
arise ^vb++++=arise
when ^wrb+who+++=when
these ^dt+dem+++=these
citations ^nns+++??+=citations
are ^vb+ber+aux++=are
not ^xnot++not++=not
corroborated ^vpsv++by+xvbn+=corroborated
by ^in++++=by
independent ^jj+atrb+++=independent
citations ^nns+++??+=citations
from ^in++++=from
other ^ap++++=other
researchers ^nns+++??+=researchers
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
( ^zz++++=(Haustein
haustein ^nn+++??+=EXTRAWORD
& ^zz++++=&
Larivi ^np+++??+=Larivi
re ^in++++=re
2015 ^cd++++=2015),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
assumed ^vpsv++agls+xvbnx+=assumed,
, ^zz++++=EXTRAWORD
often ^rb++++=often
incorrectly ^rb+cnj+++=incorrectly,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
serves ^vbz++++=serves
primarily ^rb+down+++=primarily
to ^to++++=to
artificially ^rb++splt++=artificially
enhance ^vbi++++=enhance
an ^at++++=an
individual ^nn++++=individual's
's ^vbz+bez+vrb++0=EXTRAWORD
academic ^jj++++=academic
standing ^jj+++xvbg+=standing
( ^zz++++=(Gl
gl ^nn+++??+=EXTRAWORD
nzel ^nn+++??+=nzel
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
collective ^jj++++=collective
( ^zz++++=(journal)
journal ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
considered ^vpsv++agls+xvbnx+=considered
more ^rbr++++=more
problematic ^nn+++??+=problematic
and ^cc++++=and
is ^vbz+bez+aux++=is
frequently ^rb++splt++=frequently
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
efforts ^nns++++=efforts
to ^to+ncmp+++=to
increase ^vbi++++=increase
the ^ati++++=the
Journal ^nn++++=Journal
Impact ^nn++++=Impact
Factor ^nn++++=Factor
( ^zz++++=(JIF),
jif ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
driven ^xvbn+++xvbn+=driven
by ^in++++=by
competition ^nn++++=competition
among ^in++++=among
journals ^nns++++=journals
for ^in++++=for
higher ^jjr+atrb+++=higher
rankings ^nns++++=rankings,
, ^zz++++=EXTRAWORD
prestige ^nn++++=prestige,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
increased ^jj+atrb++xvbn+=increased
revenue ^nn++++=revenue
through ^in++++=through
subscription ^nn++++=subscription
fees ^nns++++=fees,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
often ^rb++splt++=often
linked ^vpsv++agls+xvbnx+=linked
to ^in++++=to
journal ^nn++++=journal-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
bibliometrics ^nns+++??+=bibliometrics.
. ^zz++++=EXTRAWORD
Academic ^jj+atrb+++=Academic
publishing ^nvbg+++xvbg+=publishing
is ^vbz+bez+vrb++=is
a ^at++++=a
highly ^rb+amp+++=highly
profitable ^jj+atrb+++=profitable
industry ^nn++++=industry,
, ^zz++++=EXTRAWORD
with ^in++++=with
significant ^jj+atrb+++=significant
financial ^jj+atrb+++=financial
incentives ^nns++++=incentives
for ^in++++=for
journals ^nns++++=journals
to ^to++++=to
improve ^vbi++++=improve
their ^pp$+pp3+++=their
metrics ^nns+++??+=metrics
( ^zz++++=(Monbiot
monbiot ^nn+++??+=EXTRAWORD
2011 ^cd++++=2011,
, ^zz++++=EXTRAWORD
Larivi ^np+++??+=Larivi
re ^in++++=re
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
some ^dti++++=some
journals ^nns++++=journals
may ^md+pos+++=may
engage ^vb++++=engage
in ^in++++=in
practices ^nns++++=practices
such ^abl++++=such
as ^ql++++=as
citation ^vb+++??+=citation
stacking ^vbg+++xvbg+=stacking,
, ^zz++++=EXTRAWORD
encouraging ^jj+atrb+++=encouraging
or ^cc+phrs+++=or
requiring ^jj+atrb++xvbg+=requiring
authors ^nns++++=authors
to ^in++++=to
cite ^np++++=cite
articles ^nns++++=articles
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
journal ^nn++++=journal
during ^in++++=during
the ^ati++++=the
review ^nn++++=review
process ^nn++++=process,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rejecting ^jj+atrb++xvbg+=rejecting
manuscripts ^nns++++=manuscripts
with ^in++++=with
low ^jj+atrb+++=low
citation ^nn+++??+=citation
potential ^jj++++=potential,
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
can ^md+pos+++=can
artificially ^rb++++=artificially
inflate ^jj+atrb++??+=inflate
impact ^nn++++=impact
metrics ^nns+++??+=metrics
( ^zz++++=(Haustein
haustein ^nn+++??+=EXTRAWORD
& ^zz++++=&
Larivi ^np+++??+=Larivi
re ^in++++=re
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
elevated ^jj+atrb++xvbn+=elevated
levels ^nns++++=levels
of ^in++++=of
journal ^nn++++=journal
self ^nn++++=self-citation
- ^zz++++=EXTRAWORD
citation ^nn+++??+=EXTRAWORD
warrant ^nn++++=warrant
careful ^jj+atrb+++=careful
scrutiny ^nn++++=scrutiny
and ^cc++++=and
should ^md+nec+++=should
be ^vb+be+aux++=be
interpreted ^vbd+++xvbn+=interpreted
with ^in++++=with
caution ^nn++++=caution.
. ^zz++++=EXTRAWORD
