Conclusion ^nn++++=Conclusion:
: ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
analysis ^nn++++=analysis
projects ^nns++++=projects
a ^at++++=a
significant ^jj+atrb+++=significant
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
cumulative ^jj+atrb+++=cumulative
number ^nn++++=number
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
in ^in++++=in
Brazil ^np++++=Brazil
in ^in++++=in
the ^ati++++=the
coming ^jj+atrb++xvbg+=coming
months ^nns++++=months.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Boltzmann ^np+++??+=Boltzmann
function ^vb++++=function
demonstrated ^vbd+vprv++xvbn+=demonstrated
utility ^nn++++=utility
as ^in++++=as
a ^at++++=a
straightforward ^jj+atrb+++=straightforward
method ^nn++++=method
for ^in++++=for
epidemiological ^nn+++??+=epidemiological
forecasting ^vwbg+vpub++xvbg+=forecasting
and ^cc++++=and
may ^md+pos+++=may
support ^vb++++=support
the ^ati++++=the
planning ^jj+++xvbg+=planning
and ^cc++++=and
implementation ^nn++++=implementation
of ^in++++=of
measures ^nns++++=measures
to ^in++++=to
control ^nn++++=control
the ^ati++++=the
spread ^nn++++=spread
of ^in++++=of
covid ^np++++=COVID-19.
- ^zz++++=EXTRAWORD
19. ^nn++++=EXTRAWORD
