To ^in++++=To
minimize ^jj+atrb++??+=minimize
fluctuations ^nns++++=fluctuations
and ^cc++++=and
facilitate ^vb++++=facilitate
visual ^jj+atrb+++=visual
interpretation ^nn++++=interpretation,
, ^zz++++=EXTRAWORD
each ^dt++++=each
data ^nns++++=data
point ^nn++++=point
represents ^vbz++++=represents
the ^ati++++=the
average ^jj+atrb+++=average
value ^nn++++=value
calculated ^vwbn+vprv++xvbn+=calculated
over ^in++++=over
a ^at++++=a
five ^cd++++=five-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
window ^nn++++=window,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
the ^ati++++=the
two ^cd++++=two
days ^nns++++=days
preceding ^vwbg+++xvbg+=preceding,
, ^zz++++=EXTRAWORD
the ^ati++++=the
day ^nn++++=day
indicated ^vbd+vprv++xvbn+=indicated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
two ^cd++++=two
days ^nns++++=days
following ^in++++=following
the ^ati++++=the
specified ^vbn+vsua+++=specified
date ^nn++++=date.
. ^zz++++=EXTRAWORD
