When ^wrb+who+++=When
the ^ati++++=the
progression ^nn++++=progression
of ^in++++=of
an ^at++++=an
event ^nn++++=event
follows ^vbz+vprv+++=follows
an ^at++++=an
exponential ^jj+atrb+++=exponential
pattern ^nn++++=pattern,
, ^zz++++=EXTRAWORD
associated ^jj+atrb++xvbn+=associated
uncertainties ^nns++++=uncertainties
also ^rb++++=also
increase ^vb++++=increase
exponentially ^rb+cnj+++=exponentially,
, ^zz++++=EXTRAWORD
as ^in++++=as
observed ^nn++++=observed
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
Various ^jj+atrb+++=Various
mathematical ^jj+atrb+++=mathematical
models ^nns++++=models,
, ^zz++++=EXTRAWORD
developed ^j+++xvbn+=developed
using ^jj+atrb++xvbg+=using
available ^jj+atrb+++=available
knowledge ^nn++++=knowledge
and ^cc++++=and
data ^nns++++=data,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
capable ^jj+pred+++=capable
of ^in++++=of
simulating ^xvbg+++xvbg+=simulating
different ^jj+atrb+++=different
scenarios ^nns+++??+=scenarios
and ^cc++++=and
identifying ^jj+atrb++xvbg+=identifying
trends ^nns++++=trends.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
the ^ati++++=the
inherent ^jj+atrb+++=inherent
uncertainties ^nns++++=uncertainties
present ^nn++++=present
in ^in++++=in
any ^dti++++=any
scientific ^jj+atrb+++=scientific
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
findings ^nns++++=findings
derived ^vbd+++xvbn+=derived
from ^in++++=from
mathematical ^jj+atrb+++=mathematical
models ^nns++++=models
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
highly ^rb+amp+++=highly
significant ^jj++++=significant
for ^in++++=for
informing ^xvbg+++xvbg+=informing
public ^jj+atrb+++=public
policy ^nn++++=policy
decisions ^nns++++=decisions.
. ^zz++++=EXTRAWORD
A ^at++++=A
relatively ^rb++++=relatively
simple ^jj+atrb+++=simple
model ^nn++++=model
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
interpretation ^nn++++=interpretation
and ^cc++++=and
application ^nn++++=application,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
previously ^rb+tm+splt++=previously
been ^vprf+ben+aux+xvbnx+=been
utilized ^vpsv++agls+xvbnx+=utilized
in ^in++++=in
studies ^nns++++=studies
conducted ^vbd+++xvbn+=conducted
in ^in++++=in
China ^np++++=China,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
Boltzmann ^np+++??+=Boltzmann
model ^nn++++=model.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+aux++=was
to ^to++++=to
estimate ^vb++++=estimate
the ^ati++++=the
total ^jj+atrb+++=total
potential ^jj+atrb+++=potential
number ^nn++++=number
of ^in++++=of
Covid ^np+++??+=COVID-19-related
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
deaths ^nns++++=deaths
in ^in++++=in
Brazil ^np++++=Brazil
over ^in++++=over
the ^ati++++=the
subsequent ^jj++++=subsequent
two ^cd++++=two
months ^nns++++=months
using ^vwbg+++xvbg+=using
the ^ati++++=the
boltzmann ^np++++=Boltzmann
function ^nn++++=function,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
regression ^nn++++=regression
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
