Over ^in++++=Over
the ^ati++++=the
past ^jjb+atrb+++=past
century ^nn++++=century,
, ^zz++++=EXTRAWORD
the ^ati++++=the
publication ^nn++++=publication
and ^cc++++=and
dissemination ^nn+++??+=dissemination
of ^in++++=of
information ^nn++++=information
have ^vb+hv+aux++=have
occurred ^vprf+++xvbnx+=occurred
at ^rb++++=at
an ^at++++=an
unprecedented ^jj+atrb+++=unprecedented
scale ^nn++++=scale
and ^cc++++=and
speed ^nn++++=speed,
, ^zz++++=EXTRAWORD
facilitating ^vbg+++xvbg+=facilitating
researchers ^nns+++??+=researchers'
' ^zz++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
a ^at++++=a
vast ^jj+atrb+++=vast
array ^nn++++=array
of ^in++++=of
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
researchers ^nns+++??+=researchers
to ^to++++=to
possess ^vbi++++=possess
the ^ati++++=the
necessary ^jj+atrb+++=necessary
skills ^nns++++=skills
to ^to++++=to
identify ^vbi++++=identify
and ^cc++++=and
select ^jj+atrb+++=select
appropriate ^jj+atrb+++=appropriate
indexing ^nn+++??+=indexing
databases ^nns+++??+=databases
and ^cc++++=and
repositories ^nns+++??+=repositories,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
to ^in++++=to
prospect ^nn++++=prospect,
, ^zz++++=EXTRAWORD
filter ^nn++++=filter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
choose ^vb++++=choose
the ^ati++++=the
most ^ql+emph+++=most
relevant ^jj+atrb+++=relevant
information ^nn++++=information
for ^in++++=for
their ^pp$+pp3+++=their
work ^nn++++=work.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
bibliometric ^nn+++??+=bibliometric
studies ^nns++++=studies
serve ^vb++++=serve
as ^in++++=as
valuable ^jj+atrb+++=valuable
sources ^nns++++=sources
of ^in++++=of
information ^nn++++=information
across ^in+pl+++=across
various ^jj+atrb+++=various
research ^nn++++=research
fields ^nns++++=fields
and ^cc++++=and
can ^md+pos+++=can
support ^vb++++=support
both ^abx++++=both
technological ^jj+atrb+++=technological
and ^cc+phrs+++=and
scientific ^jj+atrb+++=scientific
advancement ^nn++++=advancement
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
capacity ^nn++++=capacity
to ^to+ncmp+++=to
map ^vb++++=map
scientific ^jj+atrb+++=scientific
production ^nn++++=production.
. ^zz++++=EXTRAWORD
