School ^nn++++=School
feeding ^vwbg+++xvbg+=feeding
programs ^nns+++??+=programs
are ^vb+ber+aux++=are
implemented ^vpsv++agls+xvbnx+=implemented
to ^to++++=to
promote ^vbi++++=promote
Food ^nn++++=Food
and ^cc++++=and
Nutritional ^jj+atrb+++=Nutritional
Security ^nn++++=Security
( ^zz++++=(FNS),
fns ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
school ^nn++++=school
environment ^nn++++=environment
serving ^vwbg+++xvbg+=serving
as ^ql++++=as
a ^at++++=a
critical ^jj++++=critical
setting ^jj+++xvbg+=setting
for ^in++++=for
advancing ^xvbg+++xvbg+=advancing
Fns ^np+++??+=FNS
objectives ^nns++++=objectives
by ^in++++=by
providing ^xvbg+++xvbg+=providing
meals ^nns++++=meals
and ^cc++++=and
supporting ^vbg+++xvbg+=supporting
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
healthy ^jj+atrb+++=healthy
eating ^jj+atrb++xvbg+=eating
habits ^nns++++=habits
among ^in++++=among
students ^nns++++=students.
. ^zz++++=EXTRAWORD
The ^ati++++=The
provision ^nn++++=provision
of ^in++++=of
school ^nn++++=school
meals ^nns++++=meals
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
multiple ^jj+atrb+++=multiple
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
promotion ^nn++++=promotion
of ^in++++=of
child ^nn++++=child
development ^nn++++=development
through ^in++++=through
adequate ^jj+atrb+++=adequate
nutrition ^nn++++=nutrition,
, ^zz++++=EXTRAWORD
enhancement ^nn++++=enhancement
of ^in++++=of
cognitive ^nn+++??+=cognitive
abilities ^nns++++=abilities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reduction ^nn++++=reduction
in ^in++++=in
school ^nn++++=school
dropout ^nn+++??+=dropout
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
In ^in++++=In
countries ^nns++++=countries
facing ^vwbg+++xvbg+=facing
significant ^jj++++=significant
social ^jj++++=social
challenges ^vbz++++=challenges,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
Mexico ^np++++=Mexico,
, ^zz++++=EXTRAWORD
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ghana ^np++++=Ghana,
, ^zz++++=EXTRAWORD
a ^at++++=a
substantial ^jj+atrb+++=substantial
proportion ^nn++++=proportion
of ^in++++=of
children ^nns++++=children
depend ^vb++++=depend
on ^rp++++=on
school ^npl++++=school
meals ^nns++++=meals
as ^in++++=as
their ^pp$+pp3+++=their
primary ^jj+atrb+++=primary
source ^nn++++=source
of ^in++++=of
nutrition ^nn++++=nutrition
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
disruptions ^nns+++??+=disruptions
to ^in++++=to
school ^nn++++=school
feeding ^vwbg+++xvbg+=feeding
programs ^nns+++??+=programs
have ^vb+hv+vrb++=have
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
negatively ^rb++splt++=negatively
affect ^vbi++++=affect
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
children ^nns++++=children
and ^cc++++=and
adolescents ^nns++++=adolescents
and ^cc++++=and
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^to++++=to
increased ^vbi++++=increased
rates ^nns++++=rates
of ^in++++=of
school ^nn++++=school
dropout ^nn++++=dropout
[ ^zz++++=[9].
9 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
