A ^at++++=A
mixed ^jj+++xvbn+=mixed-method
- ^zz++++=EXTRAWORD
method ^nn++++=EXTRAWORD
approach ^nn++++=approach
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed,
, ^zz++++=EXTRAWORD
utilizing ^nn+++??+=utilizing
an ^at++++=an
assessment ^nn++++=assessment
questionnaire ^nn++++=questionnaire
and ^cc++++=and
a ^at++++=a
short ^jj+atrb+++=short
interview ^nn++++=interview
as ^ql++++=as
instruments ^nns++++=instruments,
, ^zz++++=EXTRAWORD
in ^in++++=in
addition ^nn++++=addition
to ^in++++=to
rubrics ^nns+++??+=rubrics,
, ^zz++++=EXTRAWORD
to ^to++++=to
measure ^vbi++++=measure
students ^nns++++=students
knowledge ^nn++++=knowledge
of ^in++++=of
the ^ati++++=the
texts ^nns++++=texts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
collected ^vwbn+++xvbn+=collected
were ^vbd+bed+vrb++=were
subsequently ^rb+tm+++=subsequently
analyzed ^nn+++??+=analyzed
using ^vwbg+++xvbg+=using
statistical ^jj+atrb+++=statistical
methods ^nns++++=methods,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
independent ^jj++++=independent
variable ^jj++++=variable
identified ^xvbn+++xvbn+=identified
as ^ql++++=as
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers.
. ^zz++++=EXTRAWORD
