It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
invest ^vbi++++=invest
in ^in++++=in
geographic ^nn+++??+=geographic
intelligence ^nn++++=intelligence
to ^in++++=to
systematically ^rb++++=systematically
map ^vb++++=map
and ^cc++++=and
monitor ^nn++++=monitor
areas ^nns++++=areas
of ^in++++=of
greatest ^jjt+atrb+++=greatest
vulnerability ^nn+++??+=vulnerability,
, ^zz++++=EXTRAWORD
identify ^vb++++=identify
all ^abn++++=all
families ^nns++++=families
receiving ^vwbg+++xvbg+=receiving
benefits ^nns++++=benefits
from ^in++++=from
the ^ati++++=the
food ^nn++++=food
program ^nn+++??+=program,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
conduct ^vb++++=conduct
randomized ^nn+++??+=randomized
verification ^nn+++??+=verification
of ^in++++=of
the ^ati++++=the
program ^nn+++??+=program
s ^zz++++=s
effectiveness ^nn++++=effectiveness.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
process ^nn++++=process
should ^md+nec+++=should
incorporate ^vb++++=incorporate
web ^nn++++=web
applications ^nns++++=applications
to ^to++++=to
facilitate ^vbi++++=facilitate
monitoring ^nvbg+++xvbg+=monitoring
and ^cc++++=and
enable ^vb++++=enable
the ^ati++++=the
collection ^nn++++=collection
of ^in++++=of
information ^nn++++=information
from ^in++++=from
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
not ^xnot++not++=not
receiving ^jj+atrb++xvbg+=receiving
aid ^nn++++=aid.
. ^zz++++=EXTRAWORD
Registrations ^np+++??+=Registrations
should ^md+nec+++=should
adhere ^vb++++=adhere
to ^in++++=to
an ^at++++=an
active ^jj+atrb+++=active
surveillance ^nn++++=surveillance
model ^nn++++=model.
. ^zz++++=EXTRAWORD
The ^ati++++=The
implementation ^nn++++=implementation
of ^in++++=of
this ^dt+dem+++=this
approach ^nn++++=approach
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
generate ^vbi++++=generate
timely ^jj+atrb+++=timely
and ^cc+phrs+++=and
sufficient ^jj+atrb+++=sufficient
data ^nns++++=data
to ^to++++=to
support ^vbi++++=support
government ^nn++++=government
assessment ^nn++++=assessment
of ^in++++=of
the ^ati++++=the
school ^nn++++=school
feeding ^vwbg+++xvbg+=feeding
program ^nn+++??+=program
s ^zz++++=s
effectiveness ^nn++++=effectiveness
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
informing ^vbg+++xvbg+=informing
necessary ^jj+atrb+++=necessary
adjustments ^nns++++=adjustments
to ^in++++=to
better ^jjr++++=better
meet ^vb++++=meet
students ^nns++++=students
nutritional ^jj+atrb+++=nutritional
needs ^nns++++=needs.
. ^zz++++=EXTRAWORD
