A ^at++++=A
case ^nn++++=case-control
- ^zz++++=EXTRAWORD
control ^nn++++=EXTRAWORD
study ^nn++++=study
by ^in++++=by
Mamani ^np+++??+=Mamani
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
[ ^zz++++=[35],
35 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
involving ^vbg+++xvbg+=involving
149 ^cd++++=149
adults ^nns++++=adults
diagnosed ^vwbn+++xvbn+=diagnosed
with ^in++++=with
community ^nn++++=community-acquired
- ^zz++++=EXTRAWORD
acquired ^vprf+++xvbn+=EXTRAWORD
pneumonia ^nn++++=pneumonia,
, ^zz++++=EXTRAWORD
found ^vb+++xvbn+=found
that ^tht+vcmp+++=that
individuals ^nns++++=individuals
with ^in++++=with
vitamin ^nn++++=vitamin
D ^zz++++=D
deficiency ^nn++++=deficiency
( ^zz++++=(<10
< ^zz++++=EXTRAWORD
10 ^cd++++=EXTRAWORD
ng ^nn+++??+=ng/mL)
had ^vb+hv+vrb++=had
a ^at++++=a
3.69 ^cd++++=3.69-fold
- ^zz++++=EXTRAWORD
fold ^npl++++=EXTRAWORD
increased ^vbd+++xvbn+=increased
risk ^vb++++=risk
of ^in++++=of
developing ^xvbg+++xvbg+=developing
pneumonia ^nn++++=pneumonia
compared ^vbd+++xvbn+=compared
to ^in++++=to
those ^dt+dem+++=those
with ^in++++=with
sufficient ^jj+atrb+++=sufficient
vitamin ^nn++++=vitamin
D ^zz++++=D
levels ^nns++++=levels
( ^zz++++=(>20
> ^zz++++=EXTRAWORD
20 ^cd++++=EXTRAWORD
ng ^nn+++??+=ng/mL)
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
ci ^np++++=CI:
: ^zz++++=EXTRAWORD
1.46 ^cd++++=1.46
9.31 ^cd++++=9.31;
; ^zz++++=EXTRAWORD
p<0.01 ^nn++++=p<0.01).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
