Several ^ap++++=Several
studies ^nns++++=studies
have ^vb+hv+aux++=have
reported ^vprf+++xvbnx+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
protease ^nn+++??+=protease
inhibitors ^nns++++=inhibitors
lopinavir ^nn+++??+=lopinavir
and ^cc++++=and
ritonavir ^nn+++??+=ritonavir,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
used ^vpsv++agls+xvbnx+=used
as ^ql++++=as
Hiv ^np+++??+=HIV
antivirals ^nns+++??+=antivirals,
, ^zz++++=EXTRAWORD
also ^rb++++=also
exhibit ^vb++++=exhibit
activity ^nn++++=activity
against ^in++++=against
Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
and ^cc++++=and
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
( ^zz++++=(Chu
chu ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
Choy ^np+++??+=Choy
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
agents ^nns++++=agents
are ^vb+ber+vrb++=are
capable ^jj+pred+++=capable
of ^in++++=of
interacting ^nn++++=interacting
with ^in++++=with
the ^ati++++=the
3clpro ^cd++++=3CLpro
protease ^nn+++??+=protease,
, ^zz++++=EXTRAWORD
with ^in++++=with
ritonavir ^nn+++??+=ritonavir
demonstrating ^vwbg+++xvbg+=demonstrating
a ^at++++=a
higher ^jjr+atrb+++=higher
binding ^jj+atrb+++=binding
affinity ^nn++++=affinity
than ^in++++=than
lopinavir ^nn+++??+=lopinavir
( ^zz++++=(Nutho
nutho ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
animal ^nn++++=animal
models ^nns++++=models
of ^in++++=of
Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
and ^cc++++=and
Mers ^np+++??+=MERS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
combination ^nn++++=combination
of ^in++++=of
lopinavir ^nn+++??+=lopinavir/ritonavir
( ^zz++++=(LPV/r)
lpv ^nn+++??+=EXTRAWORD
with ^in++++=with
interferon ^nn+++??+=interferon
( ^zz++++=(IFN)
ifn ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
significantly ^rb++++=significantly
reduced ^vbd+++xvbn+=reduced
viral ^nn+++??+=viral
load ^nn++++=load
and ^cc++++=and
improved ^jj+atrb++xvbn+=improved
pulmonary ^nn+++??+=pulmonary
function ^nn++++=function.
. ^zz++++=EXTRAWORD
Clinical ^jj+atrb+++=Clinical
data ^nns++++=data
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
Lpv ^np+++??+=LPV/r
may ^md+pos+++=may
exert ^vb++++=exert
a ^at++++=a
synergistic ^nn+++??+=synergistic
effect ^nn++++=effect
in ^in++++=in
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
Sars ^np+++??+=SARS
( ^zz++++=(Yao
yao ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
An ^at++++=An
ongoing ^nn+++??+=ongoing
clinical ^jj+atrb+++=clinical
trial ^nn++++=trial
( ^zz++++=(NCT02845843)
nct02845843 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
evaluating ^nn+++??+=evaluating
the ^ati++++=the
efficacy ^nn++++=efficacy
of ^in++++=of
a ^at++++=a
combination ^nn++++=combination
of ^in++++=of
lopinavir ^nn+++??+=lopinavir,
, ^zz++++=EXTRAWORD
ritonavir ^nn+++??+=ritonavir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
interferon1b ^nn+++??+=interferon1b
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
Mers ^np+++??+=MERS
( ^zz++++=(Arabi
arabi ^nn+++??+=EXTRAWORD
