Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
considerations ^nns++++=considerations
outlined ^vbd+++xvbn+=outlined
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
was ^vbd+bedz+aux++=was
to ^to++++=to
evaluate ^vbi++++=evaluate
the ^ati++++=the
evidence ^nn++++=evidence
of ^in++++=of
validity ^nn++++=validity
and ^cc++++=and
reliability ^nn++++=reliability
for ^in++++=for
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
scales ^nns++++=scales
measuring ^vwbg+++xvbg+=measuring
different ^jj+atrb+++=different
domains ^nns++++=domains
of ^in++++=of
job ^nn++++=job
satisfaction ^nn++++=satisfaction
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
general ^jj+atrb+++=general
professional ^jj+atrb+++=professional
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
health ^nn++++=health
services ^nns++++=services
management ^nn++++=management,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
working ^jj+atrb++xvbg+=working
conditions ^nns++++=conditions
among ^in++++=among
Peruvian ^np+++??+=Peruvian
physicians ^nns++++=physicians,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
data ^nns++++=data
from ^in++++=from
the ^ati++++=the
National ^jj+atrb+++=National
Survey ^nn++++=Survey
of ^in++++=of
Satisfaction ^nn++++=Satisfaction
of ^in++++=of
Users ^nns++++=Users
in ^in++++=in
Health ^nn++++=Health
( ^zz++++=(ENSUSALUD).
ensusalud ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
findings ^nns++++=findings
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
improvement ^nn++++=improvement
of ^in++++=of
measurement ^nn++++=measurement
tools ^nns++++=tools
related ^vbd+++xvbn+=related
to ^in++++=to
physician ^nn++++=physician
job ^nn++++=job
satisfaction ^nn++++=satisfaction
in ^in++++=in
Peru ^np++++=Peru
and ^cc++++=and
provide ^vb+vsua+++=provide
baseline ^jj+atrb++??+=baseline
information ^nn++++=information
to ^to++++=to
inform ^vbi++++=inform
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
public ^jj+atrb+++=public
policies ^nns++++=policies
concerning ^in++++=concerning
human ^jj+atrb+++=human
resources ^nns++++=resources
in ^in++++=in
healthcare ^nn++++=healthcare.
. ^zz++++=EXTRAWORD
