Understanding ^vbg+++xvbg+=Understanding
that ^tht+vcmp+++=that
abortion ^nn++++=abortion
is ^vbz+bez+vrb++=is
legal ^jj+pred+++=legal
and ^cc++++=and
should ^md+nec+++=should
be ^vb+be+aux++=be
performed ^vpsv++agls+xvbnx+=performed
in ^in++++=in
a ^at++++=a
hospital ^npl++++=hospital
setting ^vwbg+++xvbg+=setting
was ^vbd+bedz+aux++=was
challenging ^vbg+++xvbgx+=challenging
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
as ^ql++++=as
numerous ^jj+atrb+++=numerous
barriers ^nns++++=barriers
must ^md+nec+++=must
be ^vb+be+aux++=be
addressed ^vpsv++agls+xvbnx+=addressed
on ^in++++=on
a ^at++++=a
daily ^jj+atrb+++=daily
basis ^nn++++=basis.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
to ^to+jcmp+++=to
have ^vbi++vrb++=have
confidence ^nn++++=confidence
in ^in++++=in
one ^cd1++++=one
s ^zz++++=s
actions ^nns++++=actions
and ^cc++++=and
to ^to++++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
both ^abx++++=both
current ^jj+atrb+++=current
legal ^jj+atrb+++=legal
frameworks ^nns++++=frameworks
and ^cc++++=and
personal ^jj+atrb+++=personal
values ^nns++++=values
( ^zz++++=(R.,
r ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
female ^nn++++=female,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
worker ^nn++++=worker.
. ^zz++++=EXTRAWORD
interview ^nn++++=Interview,
, ^zz++++=EXTRAWORD
buenos ^np++++=Buenos
aires ^np++++=Aires,
, ^zz++++=EXTRAWORD
may ^md+pos+++=May
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
