During ^in++++=During
my ^pp$+pp1+++=my
practicum ^nn+++??+=practicum
in ^in++++=in
the ^ati++++=the
specialization ^nn++++=specialization
stage ^nn++++=stage,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
observed ^vbd+vprv++xvbnx+=observed
a ^at++++=a
doctor ^nn++++=doctor
attending ^vwbg+++xvbg+=attending
a ^at++++=a
woman ^nn++++=woman
during ^in++++=during
childbirth ^nn++++=childbirth
at ^in++++=at
the ^ati++++=the
hospital ^nn++++=hospital.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
deeply ^rb++splt++=deeply
disturbed ^vpsv++by+xvbnx+=disturbed
by ^in++++=by
the ^ati++++=the
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
woman ^nn++++=woman
was ^vbd+bedz+aux++=was
treated ^vpsv++agls+xvbnx+=treated;
; ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
student ^nn++++=student,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
unable ^jj++++=unable
to ^to+jcmp+++=to
intervene ^vbi++++=intervene,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
experience ^nn++++=experience
influenced ^vwbn+++xvbn+=influenced
my ^pp$+pp1+++=my
initial ^jj+atrb+++=initial
decision ^nn++++=decision
not ^xnot++not++=not
to ^to++++=to
pursue ^vbi++++=pursue
obstetrics ^nns+++??+=obstetrics.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
later ^rbr+tm+++=later
chose ^vbd+++xvbn+=chose
to ^to++++=to
provide ^vbi+vsua+++=provide
abortion ^nn++++=abortion
services ^nns++++=services,
, ^zz++++=EXTRAWORD
viewing ^vbg+++xvbg+=viewing
this ^dt+dem+++=this
as ^in++++=as
a ^at++++=a
means ^nn++++=means
to ^in++++=to
address ^nn++++=address
the ^ati++++=the
significant ^jj+atrb+++=significant
injustices ^nns++++=injustices
faced ^vwbn+++xvbn+=faced
by ^in++++=by
women ^nns++++=women
within ^in++++=within
healthcare ^nn+++??+=healthcare
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
In ^in++++=In
my ^pp$+pp1+++=my
view ^nn++++=view,
, ^zz++++=EXTRAWORD
medicine ^nn++++=medicine
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
tool ^nn++++=tool
to ^to++++=to
promote ^vbi++++=promote
justice ^nn++++=justice
for ^in++++=for
women ^nns++++=women
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
subjected ^vpsv++agls+xvbnx+=subjected
to ^in++++=to
inadequate ^jj+atrb+++=inadequate
treatment ^nn++++=treatment
in ^in++++=in
these ^dt+dem+++=these
settings ^nns++++=settings
( ^zz++++=(L.
l ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
female ^nn++++=female,
, ^zz++++=EXTRAWORD
clinical ^jj+atrb+++=clinical
doctor ^nn++++=doctor.
. ^zz++++=EXTRAWORD
interviews ^nns++++=Interviews,
, ^zz++++=EXTRAWORD
c ^zz++++=C
rdoba ^nn++++=rdoba,
, ^zz++++=EXTRAWORD
november ^nr++++=November
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
