Regarding ^in++++=Regarding
their ^pp$+pp3+++=their
analytical ^jj+atrb+++=analytical
focus ^nn++++=focus,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
studies ^nns++++=studies
predominantly ^rb++++=predominantly
examine ^vb++++=examine
the ^ati++++=the
consumption ^nn++++=consumption
of ^in++++=of
new ^jj+atrb+++=new
technologies ^nns+++??+=technologies,
, ^zz++++=EXTRAWORD
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
the ^ati++++=the
works ^nn++++=works
of ^in++++=of
Aguilar ^np+++??+=Aguilar-Barcel
- ^zz++++=EXTRAWORD
barcel ^nn+++??+=EXTRAWORD
and ^cc++++=and
Ram ^vb++++=Ram
rez ^nn+++??+=rez-Angulo
- ^zz++++=EXTRAWORD
angulo ^nn+++??+=EXTRAWORD
( ^zz++++=(2006),
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Hinojosa ^np+++??+=Hinojosa-C
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
rdova ^nn+++??+=rdova
and ^cc++++=and
Silva ^np+++??+=Silva-Corpus
- ^zz++++=EXTRAWORD
corpus ^nn++++=EXTRAWORD
( ^zz++++=(2008),
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Santamar ^np+++??+=Santamar
a ^at++++=a
and ^cc++++=and
Yur ^np+++??+=Yur
n ^zz++++=n
( ^zz++++=(2010),
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Pini ^np+++??+=Pini,
, ^zz++++=EXTRAWORD
Musanti ^np+++??+=Musanti,
, ^zz++++=EXTRAWORD
Kaufman ^np+++??+=Kaufman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Amar ^np+++??+=Amar
( ^zz++++=(2012),
2012 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Osorio ^np+++??+=Osorio,
, ^zz++++=EXTRAWORD
Molero ^np+++??+=Molero,
, ^zz++++=EXTRAWORD
P ^zz++++=P
rez ^nn+++??+=rez,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mercader ^np+++??+=Mercader
( ^zz++++=(2014),
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Fern ^np+++??+=Fern
ndez ^nn+++??+=ndez-Villa
- ^zz++++=EXTRAWORD
villa ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Sanvic ^np+++??+=Sanvic
n ^zz++++=n
and ^cc++++=and
Molina ^np+++??+=Molina
( ^zz++++=(2015),
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Casillas ^np+++??+=Casillas,
, ^zz++++=EXTRAWORD
Ram ^vb++++=Ram
rez ^nn+++??+=rez,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ortega ^np+++??+=Ortega
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Gisbert ^np+++??+=Gisbert
and ^cc++++=and
Esteve ^np+++??+=Esteve
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
L ^zz++++=L
pez ^np++++=pez
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Romero ^np+++??+=Romero-Rodr
- ^zz++++=EXTRAWORD
rodr ^nn+++??+=EXTRAWORD
guez ^nn+++??+=guez
and ^cc++++=and
Aguaded ^np+++??+=Aguaded
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ruano ^np+++??+=Ruano,
, ^zz++++=EXTRAWORD
Congote ^np+++??+=Congote,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Torres ^np+++??+=Torres
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Paspuel ^np+++??+=Paspuel
and ^cc++++=and
Palacios ^np+++??+=Palacios
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rojas ^np+++??+=Rojas,
, ^zz++++=EXTRAWORD
Jim ^np++++=Jim
nez ^nn+++??+=nez-Fern
- ^zz++++=EXTRAWORD
fern ^nn++++=EXTRAWORD
ndez ^nn++++=ndez,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rodr ^np++++=Rodr
guez ^nn++++=guez
( ^zz++++=(2018).
2018 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
